Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label
ACC,NK_cells_MCPcounter,NK Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NKCELLS,39,40,0.148925,0.11929375,-0.02963125,0.669705232802847,0.888995225491652,ns,P=0.67,FDR=0.889
ACC,CD4+_naive_T-cells_xCell,CD4+ Naive t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4NAIVETCELLS,39,40,1.53778354098578e-23,0,-1.53778354098578e-23,0.693450021774044,0.888995225491652,ns,P=0.693,FDR=0.889
ACC,T_cells_MCPcounter,t Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),TCELLS,39,40,0.559966666666667,0.572873333333333,0.0129066666666667,0.705784559018433,0.888995225491652,ns,P=0.706,FDR=0.889
ACC,Macrophages_M1_xCell,Macrophages M1,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM1,39,40,0,0,0,0.725568001079994,0.888995225491652,ns,P=0.726,FDR=0.889
ACC,Macrophages_M2_quantiseq,Macrophages M2,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,39,40,0.0262602413909033,0.0255426365253224,-0.000717604865580881,0.735130667233482,0.888995225491652,ns,P=0.735,FDR=0.889
ACC,ly_Endothelial_cells_xCell,Ly Endothelial Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,39,40,1.27178233137166e-24,0,-1.27178233137166e-24,0.76450145234656,0.903501716409571,ns,P=0.765,FDR=0.904
ACC,DC_xCell,Dc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),DC,39,40,2.83654810038213e-23,4.08307612619684e-23,1.24652802581471e-23,0.858036510026413,0.964175869780484,ns,P=0.858,FDR=0.964
ACC,Monocytes_quantiseq,Monocytes,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MONOCYTES,39,40,0.00236054886301781,2.21588361638739e-05,-0.00233839002685393,0.864982031073638,0.964175869780484,ns,P=0.865,FDR=0.964
ACC,Myeloid_dendritic_cells_MCPcounter,Myeloid Dendritic Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),MYELOIDDENDRITICCELLS,39,40,1.92666666666667,1.70223333333333,-0.224433333333333,0.87146665153236,0.964175869780484,ns,P=0.871,FDR=0.964
ACC,pDC_xCell,Pdc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PDC,39,40,0,0,0,0.917825947368092,0.990679915080359,ns,P=0.918,FDR=0.991
ACC,Plasma_cells_xCell,Plasma Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,39,40,5.38520020658369e-08,4.97135749758113e-08,-4.13842709002557e-09,0.933525304594954,0.990679915080359,ns,P=0.934,FDR=0.991
ACC,Eosinophils_xCell,Eosinophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),EOSINOPHILS,39,40,0,0,0,0.969678930955509,1,ns,P=0.97,FDR=1
ACC,mv_Endothelial_cells_xCell,Mv Endothelial Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,39,40,1.80511268094916e-23,0,-1.80511268094916e-23,0.987611378921674,1,ns,P=0.988,FDR=1
ACC,Neutrophils_xCell,Neutrophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NEUTROPHILS,39,40,1.24336765871159e-23,1.46439516462927e-23,2.21027505917681e-24,1,1,ns,P=1,FDR=1
BLCA,Neutrophils_MCPcounter,Neutrophils,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,212,219,6.33352666666667,8.02469333333333,1.69116666666667,1.32278324740631e-09,6.87847288651284e-08,****,P=1.32e-09,FDR=6.88e-08
BLCA,Plasma_cells_xCell,Plasma Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,212,219,1.20320144513635e-07,5.88451314886553e-08,-6.14750130249794e-08,3.72959933996115e-08,9.69695828389899e-07,****,P=3.73e-08,FDR=9.70e-07
BLCA,Endothelial_EPIC,Endothelial,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,212,219,0.0558728211697923,0.0408759813804576,-0.0149968397893347,1.21577682095002e-07,2.1073464896467e-06,****,P=1.22e-07,FDR=2.11e-06
BLCA,NK_cells_MCPcounter,NK Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NKCELLS,212,219,0.15185625,0.2627,0.11084375,4.00343277524076e-06,5.20446260781299e-05,****,P=4.00e-06,FDR=5.20e-05
BLCA,NK_cells_quantiseq,NK Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,212,219,0.0107396819811894,0.0136403160602035,0.00290063407901405,0.000201556468657884,0.002096187274042,***,P=2.02e-04,FDR=0.0021
