Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label
BLCA,HALLMARK_HYPOXIA,Hypoxia,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),HYPOXIA,212,219,0.162637291585131,0.185934289966883,0.0232969983817518,0.227415806109563,0.530636880922313,ns,P=0.227,FDR=0.531
BLCA,CAFs_EPIC,CAFs,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,212,219,0.0899494173728879,0.0749241094959706,-0.0150253078769173,0.299434646195361,0.598869292390722,ns,P=0.299,FDR=0.599
BLCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,CAF,203,203,0.0336569300831723,0.0350205190395793,0.001363588956407,0.364533934296813,0.637934385019423,ns,P=0.365,FDR=0.638
BLCA,ly_Endothelial_cells_xCell,Ly Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,212,219,5.34260125952396e-24,6.00757808690368e-24,6.64976827379712e-25,0.456886391137986,0.697271282387604,ns,P=0.457,FDR=0.697
BLCA,Endothelial_cells_xCell,Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,212,219,7.58954842209027e-24,6.50054302302131e-24,-1.08900539906897e-24,0.498050915991146,0.697271282387604,ns,P=0.498,FDR=0.697
BLCA,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,212,219,3.98682072968096e-22,5.05231946741075e-22,1.06549873772979e-22,0.660107229086233,0.840136473382478,ns,P=0.66,FDR=0.84
BLCA,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,212,219,200.61325,201.4421625,0.82891250000003,0.779769638197085,0.899716291405619,ns,P=0.78,FDR=0.9
BLCA,mv_Endothelial_cells_xCell,Mv Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,212,219,6.47432186559921e-24,1.14964522549987e-23,5.02213038939947e-24,0.835450842019503,0.899716291405619,ns,P=0.835,FDR=0.9
BLCA,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,212,219,9.36525166666667,9.17348333333333,-0.191768333333332,0.957127926549789,0.957127926549789,ns,P=0.957,FDR=0.957
BRCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,605,621,0.217759638134322,0.260828482929497,0.043068844795175,1.02682300559526e-16,1.43755220783336e-15,****,P=1.03e-16,FDR=1.44e-15
BRCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,EXCLUSION,547,548,0.699165321903578,0.859688108154711,0.160522786251133,2.80336115802264e-10,1.96235281061585e-09,****,P=2.80e-10,FDR=1.96e-09
BRCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,CAF,547,548,0.0740706348236289,0.0890250461480717,0.0149544113244428,3.02433300219293e-05,0.000141135540102337,****,P=3.02e-05,FDR=1.41e-04
BRCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,605,621,0.391706336918605,0.362419807167523,-0.0292865297510823,0.00014148878084461,0.000408787325452691,***,P=1.41e-04,FDR=4.09e-04
BRCA,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,605,621,0,2.14817821494694e-22,2.14817821494694e-22,0.000145995473375961,0.000408787325452691,***,P=1.46e-04,FDR=4.09e-04
BRCA,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,605,621,0.0594085892366407,0.0491337746228231,-0.0102748146138175,0.00647961667100681,0.0151191055656826,**,P=0.00648,FDR=0.0151
BRCA,CAFs_EPIC,CAFs,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,605,621,0.275458847914581,0.224928675706361,-0.0505301722082202,0.0133367219766696,0.0266734439533393,*,P=0.0133,FDR=0.0267
BRCA,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,605,621,13.6190766666667,12.2271966666667,-1.39188,0.103676425589306,0.181433744781285,ns,P=0.104,FDR=0.181
BRCA,ly_Endothelial_cells_xCell,Ly Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,605,621,7.85099451858476e-24,1.39827242160243e-24,-6.45272209698232e-24,0.20256120474702,0.315095207384253,ns,P=0.203,FDR=0.315
BRCA,Endothelial_cells_xCell,Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,605,621,1.08761047823559e-23,4.11467993348312e-24,-6.76142484887281e-24,0.278922899662098,0.390492059526937,ns,P=0.279,FDR=0.39
BRCA,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,605,621,632.2390375,576.783675,-55.4553625,0.393832679693508,0.494704593758812,ns,P=0.394,FDR=0.495
BRCA,HALLMARK_HYPOXIA,Hypoxia,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),HYPOXIA,605,621,0.00846465418407886,0.0088866788088031,0.000422024624724246,0.424032508936124,0.494704593758812,ns,P=0.424,FDR=0.495
BRCA,HALLMARK_ANGIOGENESIS,Angiogenesis,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),ANGIOGENESIS,605,621,0.176921824537497,0.178277691986958,0.00135586744946142,0.548058008991344,0.590216317375294,ns,P=0.548,FDR=0.59
BRCA,mv_Endothelial_cells_xCell,Mv Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,605,621,0,1.32833346967669e-24,1.32833346967669e-24,0.656244685161226,0.656244685161226,ns,P=0.656,FDR=0.656
CESC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,EXCLUSION,152,152,0.156277404676518,0.432113830534413,0.275836425857895,2.25360026047305e-11,3.15504036466226e-10,****,P=2.25e-11,FDR=3.16e-10
CESC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,CAF,152,152,0.014489927398224,0.0237886248957101,0.0092986974974861,4.58248664048416e-07,3.20774064833891e-06,****,P=4.58e-07,FDR=3.21e-06
CESC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,155,154,5.64507,7.20554333333333,1.56047333333333,3.38729232773567e-05,0.000158073641960998,****,P=3.39e-05,FDR=1.58e-04
CESC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,155,154,0.414465284344895,0.443720990012582,0.0292557056676872,0.000147327005508786,0.000515644519280751,***,P=1.47e-04,FDR=5.16e-04
CESC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,155,154,0.213956168367099,0.173876587723072,-0.040079580644027,0.0854686510431618,0.239312222920853,ns,P=0.0855,FDR=0.239
CESC,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,155,154,0.0272832438445865,0.0303174300058437,0.00303418616125717,0.203534931774018,0.453213963262349,ns,P=0.204,FDR=0.453
CESC,HALLMARK_ANGIOGENESIS,Angiogenesis,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),ANGIOGENESIS,155,154,0.0777778092872998,0.0657560303830875,-0.0120217789042124,0.226606981631175,0.453213963262349,ns,P=0.227,FDR=0.453
CESC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,155,154,99.53005,107.8492375,8.31918749999998,0.309829300598776,0.542201276047858,ns,P=0.31,FDR=0.542
CESC,HALLMARK_HYPOXIA,Hypoxia,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),HYPOXIA,155,154,0.262119848058294,0.27960875286917,0.0174889048108762,0.381301780094008,0.593136102368457,ns,P=0.381,FDR=0.593
CESC,mv_Endothelial_cells_xCell,Mv Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,155,154,1.58227144858064e-23,3.72041924516565e-23,2.13814779658501e-23,0.477445360601006,0.668423504841409,ns,P=0.477,FDR=0.668
CESC,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,155,154,2.91442867950905e-22,1.119974687547e-22,-1.79445399196205e-22,0.576123180459905,0.733247684221697,ns,P=0.576,FDR=0.733
CESC,ly_Endothelial_cells_xCell,Ly Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,155,154,0,0,0,0.860468523482061,0.950993816709663,ns,P=0.86,FDR=0.951
CESC,CAFs_EPIC,CAFs,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,155,154,0.0353196268419264,0.0351702782104581,-0.000149348631468239,0.883065686944687,0.950993816709663,ns,P=0.883,FDR=0.951
CESC,Endothelial_cells_xCell,Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,155,154,2.51075266344387e-24,3.4993438966505e-24,9.88591233206636e-25,0.986504425197391,0.986504425197391,ns,P=0.987,FDR=0.987
CHOL,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,CAF,17,18,0.0377222298229398,0.0720156107972408,0.034293380974301,0.0199734244781227,0.18124205382779,*,P=0.02,FDR=0.181
CHOL,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,EXCLUSION,17,18,0.398698815234125,0.612367170364192,0.213668355130067,0.0258917219753985,0.18124205382779,*,P=0.0259,FDR=0.181
CHOL,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,20,23,7.51673333333333,10.5550233333333,3.03829,0.06967492273697,0.244881960640949,ns,P=0.0697,FDR=0.245
CHOL,Endothelial_cells_xCell,Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,20,23,5.36138500980039e-23,0,-5.36138500980039e-23,0.0699662744688425,0.244881960640949,ns,P=0.07,FDR=0.245
CHOL,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,20,23,0.550091835192507,0.639558559273555,0.0894667240810477,0.100264322605566,0.280740103295585,ns,P=0.1,FDR=0.281
CHOL,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,20,23,120.88816875,171.267075,50.37890625,0.168904642985915,0.343825822942314,ns,P=0.169,FDR=0.344
CHOL,ly_Endothelial_cells_xCell,Ly Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,20,23,1.90010736958882e-23,0,-1.90010736958882e-23,0.171912911471157,0.343825822942314,ns,P=0.172,FDR=0.344
CHOL,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,20,23,0.338846444214343,0.411403950704662,0.0725575064903183,0.237627343263152,0.354541509203213,ns,P=0.238,FDR=0.355
CHOL,HALLMARK_ANGIOGENESIS,Angiogenesis,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),ANGIOGENESIS,20,23,0.533903850764727,0.598265650388039,0.0643617996233117,0.267909189068747,0.354541509203213,ns,P=0.268,FDR=0.355
CHOL,HALLMARK_HYPOXIA,Hypoxia,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),HYPOXIA,20,23,0.203384830489553,0.117637198652696,-0.0857476318368571,0.278568328659667,0.354541509203213,ns,P=0.279,FDR=0.355
CHOL,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,20,23,0.0272893600474575,0.0373628077502953,0.0100734477028378,0.278568328659667,0.354541509203213,ns,P=0.279,FDR=0.355
CHOL,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,20,23,5.45351906981894e-22,0,-5.45351906981894e-22,0.339512761287363,0.388975824194153,ns,P=0.34,FDR=0.389
CHOL,CAFs_EPIC,CAFs,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,20,23,0.0426246635395308,0.0570253421416221,0.0144006786020914,0.361191836751713,0.388975824194153,ns,P=0.361,FDR=0.389
CHOL,mv_Endothelial_cells_xCell,Mv Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,20,23,9.16253335830089e-23,7.77655861836074e-23,-1.38597473994015e-23,0.910851757401926,0.910851757401926,ns,P=0.911,FDR=0.911
COAD,HALLMARK_ANGIOGENESIS,Angiogenesis,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),ANGIOGENESIS,264,257,0.130514308321851,0.164137422976915,0.033623114655064,2.50231579054468e-05,0.000350324210676255,****,P=2.50e-05,FDR=3.50e-04
COAD,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,EXCLUSION,228,228,0.441234097156142,0.494867426609716,0.053633329453574,8.27423796107485e-05,0.00057919665727524,****,P=8.27e-05,FDR=5.79e-04
COAD,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,264,257,0.358322658546311,0.38372916175598,0.0254065032096699,0.0012341576050655,0.00575940215697234,**,P=0.00123,FDR=0.00576
COAD,ly_Endothelial_cells_xCell,Ly Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,264,257,8.2030741984347e-24,0,-8.2030741984347e-24,0.072616124892039,0.212481723379516,ns,P=0.0726,FDR=0.212
COAD,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,264,257,8.07370666666667,8.70372333333333,0.630016666666666,0.0758863297783984,0.212481723379516,ns,P=0.0759,FDR=0.212
COAD,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,264,257,180.975575,211.0503375,30.0747625,0.105181755526,0.219266209989556,ns,P=0.105,FDR=0.219
COAD,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,CAF,228,228,0.0137858700823793,0.0169927936818846,0.00320692359950525,0.118166756730065,0.219266209989556,ns,P=0.118,FDR=0.219
COAD,CAFs_EPIC,CAFs,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,264,257,0.0673876145164927,0.0796041948566732,0.0122165803401805,0.125294977136889,0.219266209989556,ns,P=0.125,FDR=0.219
COAD,HALLMARK_HYPOXIA,Hypoxia,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),HYPOXIA,264,257,0.200478760530728,0.189571136108227,-0.0109076244225011,0.22947369779497,0.356959085458842,ns,P=0.229,FDR=0.357
COAD,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,264,257,0.0324821202069773,0.0318932925912875,-0.000588827615689749,0.698476418946998,0.870142362183073,ns,P=0.698,FDR=0.87
COAD,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,264,257,3.80317143308394e-23,1.84272227454327e-23,-1.96044915854067e-23,0.803407609728991,0.870142362183073,ns,P=0.803,FDR=0.87
COAD,Endothelial_cells_xCell,Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,264,257,0,0,0,0.807935642993284,0.870142362183073,ns,P=0.808,FDR=0.87
COAD,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,264,257,0.259830551873685,0.244939395181225,-0.0148911566924606,0.807989336312854,0.870142362183073,ns,P=0.808,FDR=0.87
COAD,mv_Endothelial_cells_xCell,Mv Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,264,257,0,0,0,0.951560225101616,0.951560225101616,ns,P=0.952,FDR=0.952
DLBC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,24,24,5.03706833333333,7.26611333333333,2.229045,0.00488406301054759,0.0683768821476662,**,P=0.00488,FDR=0.0684
DLBC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,24,24,121.916,227.38626875,105.47026875,0.0296021509817769,0.171264767757629,*,P=0.0296,FDR=0.171
DLBC,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,24,24,0,6.7769168232999e-22,6.7769168232999e-22,0.04038009565156,0.171264767757629,*,P=0.0404,FDR=0.171
DLBC,CAFs_EPIC,CAFs,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,24,24,0.0187089556591265,0.0357507296647361,0.0170417740056096,0.0489327907878939,0.171264767757629,*,P=0.0489,FDR=0.171
DLBC,HALLMARK_ANGIOGENESIS,Angiogenesis,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),ANGIOGENESIS,24,24,0.0113064207687383,0.0478101038932909,0.0365036831245526,0.11952183383137,0.327598713714493,ns,P=0.12,FDR=0.328
DLBC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,24,24,0.491749754223702,0.574911199219324,0.0831614449956221,0.140399448734783,0.327598713714493,ns,P=0.14,FDR=0.328
DLBC,mv_Endothelial_cells_xCell,Mv Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,24,24,0,3.26493910319022e-23,3.26493910319022e-23,0.189703596500233,0.379407193000466,ns,P=0.19,FDR=0.379
DLBC,HALLMARK_HYPOXIA,Hypoxia,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),HYPOXIA,24,24,0.396656084927428,0.363944742861231,-0.0327113420661973,0.244014797442482,0.427025895524344,ns,P=0.244,FDR=0.427
DLBC,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,24,24,0.000206886998019392,3.34674269434546e-06,-0.000203540255325046,0.439382151717562,0.623276702057384,ns,P=0.439,FDR=0.623
DLBC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,EXCLUSION,24,24,0.0822805364833295,0.0348138640977944,-0.0474666723855352,0.451679909555962,0.623276702057384,ns,P=0.452,FDR=0.623
