Cancer,Feature,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Direction,Category,Row,EffectPlot,SigLabel
LUSC,Telomere attrition,250,251,-0.321933457909953,0.353333792323249,0.675267250233202,5.94547454035845e-19,1.78364236210754e-18,Higher in High,Genome maintenance,11,0.675267250233202,***
MESO,Telomere attrition,43,44,-0.411909921061725,0.297204166003298,0.709114087065023,0.000379241686303305,0.00151696674521322,Higher in High,Genome maintenance,11,0.709114087065023,**
OV,Telomere attrition,189,189,-0.0943450896746873,0.134371821438202,0.22871691111289,0.000577353532856723,0.00115470706571345,Higher in High,Genome maintenance,11,0.22871691111289,**
PAAD,Telomere attrition,89,89,-0.262331537269455,0.279448947038017,0.541780484307472,0.000723555328935214,0.00217066598680564,Higher in High,Genome maintenance,11,0.541780484307472,**
PCPG,Telomere attrition,89,90,-0.252522376451027,0.146119300700336,0.398641677151363,0.000206045535145568,0.000618136605436704,Higher in High,Genome maintenance,11,0.398641677151363,***
PRAD,Telomere attrition,248,249,-0.0637658922373596,0.0696329378735412,0.133398830110901,0.0447761403455349,0.0597015204607132,Higher in High,Genome maintenance,11,0.133398830110901,""
READ,Telomere attrition,83,83,-0.295661065830655,0.396325953423242,0.691987019253897,8.06826929963781e-06,3.22730771985512e-05,Higher in High,Genome maintenance,11,0.691987019253897,***
SARC,Telomere attrition,129,130,-0.315442844632582,0.397002947183578,0.71244579181616,1.29308881704546e-11,7.75853290227278e-11,Higher in High,Genome maintenance,11,0.71244579181616,***
SKCM,Telomere attrition,234,235,-0.192591455314638,0.287238126689098,0.479829582003735,5.96246065627264e-13,3.57747639376358e-12,Higher in High,Genome maintenance,11,0.479829582003735,***
STAD,Telomere attrition,187,188,-0.1396291269653,0.471711803278792,0.611340930244092,1.1588179068849e-12,6.95290744130938e-12,Higher in High,Genome maintenance,11,0.611340930244092,***
TGCT,Telomere attrition,75,75,0.118341179518244,0.393131737730703,0.274790558212459,0.000800027476146021,0.00192006594275045,Higher in High,Genome maintenance,11,0.274790558212459,**
THCA,Telomere attrition,252,252,-0.0883018128802959,0.0547312811529242,0.14303309403322,0.00297654577116974,0.00446481865675461,Higher in High,Genome maintenance,11,0.14303309403322,**
THYM,Telomere attrition,60,60,-0.43974854129594,0.57629797667596,1.0160465179719,4.48777410704282e-05,0.000179510964281713,Higher in High,Genome maintenance,11,1.0160465179719,***
UCEC,Telomere attrition,272,273,-0.35928125591351,0.433846335476754,0.793127591390265,7.21891970124433e-28,4.3313518207466e-27,Higher in High,Genome maintenance,11,0.793127591390265,***
UCS,Telomere attrition,28,29,-0.0512754513884513,-0.0171533500962654,0.0341221012921859,0.404912664303496,0.441722906512904,Higher in High,Genome maintenance,11,0.0341221012921859,""
UVM,Telomere attrition,40,40,-0.0642444170224966,-0.0323466650367936,0.031897751985703,0.615273293889038,0.738327952666846,Higher in High,Genome maintenance,11,0.031897751985703,""
ACC,Epigenetic alterations,39,40,-0.731111502232062,0.309608250844008,1.04071975307607,1.94215605994993e-05,7.76862423979974e-05,Higher in High,Genome maintenance,10,1.04071975307607,***
BLCA,Epigenetic alterations,203,203,-0.173281636312964,0.196402476304607,0.369684112617571,2.10086685138377e-07,4.20173370276754e-07,Higher in High,Genome maintenance,10,0.369684112617571,***
BRCA,Epigenetic alterations,547,548,-0.159044150130284,0.0837453958139249,0.242789545944209,3.29666989488341e-05,6.59333978976683e-05,Higher in High,Genome maintenance,10,0.242789545944209,***
CESC,Epigenetic alterations,152,152,-0.0402539591380695,0.11536410320968,0.155618062347749,0.132590093626184,0.144643738501292,Higher in High,Genome maintenance,10,0.155618062347749,""
CHOL,Epigenetic alterations,17,18,-0.178159311338499,0.110668738564616,0.288828049903115,0.482771918563021,0.724157877844532,Higher in High,Genome maintenance,10,0.288828049903115,""
COAD,Epigenetic alterations,228,228,-0.230515119498733,0.131488321419247,0.36200344091798,0.000973450584530537,0.00233628140287329,Higher in High,Genome maintenance,10,0.36200344091798,**
DLBC,Epigenetic alterations,24,24,-0.11808081783269,0.147920038073664,0.266000855906353,0.340867860214887,0.409041432257864,Higher in High,Genome maintenance,10,0.266000855906353,""
ESCA,Epigenetic alterations,81,81,-0.256676011272465,0.223207386386136,0.4798833976586,0.00227611506120421,0.0054626761468901,Higher in High,Genome maintenance,10,0.4798833976586,**
GBM,Epigenetic alterations,80,81,-0.26290614544809,0.244974219370734,0.507880364818824,0.000299209803889964,0.000598419607779927,Higher in High,Genome maintenance,10,0.507880364818824,***
HNSC,Epigenetic alterations,251,251,-0.0595798722584057,0.112783211316513,0.172363083574919,0.00309581500770861,0.00530711144178618,Higher in High,Genome maintenance,10,0.172363083574919,**
KICH,Epigenetic alterations,32,33,-0.195857571364642,-0.0176822383111472,0.178175333053495,0.193050967329491,0.289576450994236,Higher in High,Genome maintenance,10,0.178175333053495,""
KIRC,Epigenetic alterations,266,266,-0.0335769417432173,-0.118143709082851,-0.0845667673396333,0.298389760686229,0.358067712823475,Lower in High,Genome maintenance,10,-0.0845667673396333,""
KIRP,Epigenetic alterations,145,145,-0.287113249658378,0.00536939512379726,0.292482644782175,0.146030715015544,0.159306234562412,Higher in High,Genome maintenance,10,0.292482644782175,""
LAML,Epigenetic alterations,75,75,0.0505358816766389,0.0324368581090492,-0.0180990235675897,0.95803293607954,0.95803293607954,Lower in High,Genome maintenance,10,-0.0180990235675897,""
