Cancer	Feature	P	FDR	Significance	P_label	FDR_label
KIRC	Extracellular matrix changes	0.148960131364672	0.19861350848623	ns	P = 0.149	P = 0.199
KIRP	Genomic instability	4.90115157247901e-08	2.94069094348741e-07	****	P < 0.001	P < 0.001
KIRP	Telomere attrition	1.41526063635877e-05	5.6610425454351e-05	****	P < 0.001	P < 0.001
KIRP	Epigenetic alterations	0.146030715015544	0.159306234562412	ns	P = 0.146	P = 0.159
KIRP	Loss of proteostasis	4.43066355471824e-05	0.000132919906641547	***	P < 0.001	P < 0.001
KIRP	Disabled macroautophagy	0.0452113481683568	0.0678170222525353	ns	P = 0.0452	P = 0.0678
KIRP	Deregulated nutrient sensing	0.119391931843446	0.143270318212135	ns	P = 0.119	P = 0.143
KIRP	Mitochondrial dysfunction	4.71588637959292e-20	5.65906365551151e-19	****	P < 0.001	P < 0.001
KIRP	Cellular senescence	0.0102560367433703	0.0205120734867405	*	P = 0.0103	P = 0.0205
KIRP	Stem cell exhaustion	0.000250011078937795	0.000600026589450707	***	P < 0.001	P < 0.001
KIRP	Altered intercellular communication	0.338806498799143	0.338806498799143	ns	P = 0.339	P = 0.339
KIRP	Chronic inflammation	0.108197544674474	0.143270318212135	ns	P = 0.108	P = 0.143
KIRP	Extracellular matrix changes	0.0313553306229011	0.0537519953535447	ns	P = 0.0314	P = 0.0538
LAML	Genomic instability	0.000216801980333563	0.00260162376400276	**	P < 0.001	P = 0.0026
LAML	Telomere attrition	0.0258188530576994	0.154913118346196	ns	P = 0.0258	P = 0.155
LAML	Epigenetic alterations	0.95803293607954	0.95803293607954	ns	P = 0.958	P = 0.958
LAML	Loss of proteostasis	0.482129218070831	0.642838957427775	ns	P = 0.482	P = 0.643
LAML	Disabled macroautophagy	0.296057009236243	0.592114018472487	ns	P = 0.296	P = 0.592
LAML	Deregulated nutrient sensing	0.447695226456182	0.642838957427775	ns	P = 0.448	P = 0.643
LAML	Mitochondrial dysfunction	0.203924373442796	0.489418496262709	ns	P = 0.204	P = 0.489
LAML	Cellular senescence	0.72666766352166	0.872001196225991	ns	P = 0.727	P = 0.872
LAML	Stem cell exhaustion	0.943066811393625	0.95803293607954	ns	P = 0.943	P = 0.958
LAML	Altered intercellular communication	0.0811504170734691	0.324601668293876	ns	P = 0.0812	P = 0.325
LAML	Chronic inflammation	0.385248653031415	0.642838957427775	ns	P = 0.385	P = 0.643
LAML	Extracellular matrix changes	0.130786257192903	0.392358771578708	ns	P = 0.131	P = 0.392
LGG	Genomic instability	5.09479362147989e-41	6.11375234577587e-40	****	P < 0.001	P < 0.001
LGG	Telomere attrition	5.43051280725173e-30	3.25830768435104e-29	****	P < 0.001	P < 0.001
LGG	Epigenetic alterations	7.4995355847631e-20	1.79988854034314e-19	****	P < 0.001	P < 0.001
LGG	Loss of proteostasis	0.00309148077041696	0.00370977692450035	**	P = 0.00309	P = 0.00371
LGG	Disabled macroautophagy	1.56432367612949e-12	3.12864735225898e-12	****	P < 0.001	P < 0.001
LGG	Deregulated nutrient sensing	0.299161053228521	0.299161053228521	ns	P = 0.299	P = 0.299
LGG	Mitochondrial dysfunction	6.85385427356076e-28	2.7415417094243e-27	****	P < 0.001	P < 0.001
LGG	Cellular senescence	1.99260463352415e-20	5.97781390057244e-20	****	P < 0.001	P < 0.001
LGG	Stem cell exhaustion	1.99671964145681e-08	3.4229479567831e-08	****	P < 0.001	P < 0.001
LGG	Altered intercellular communication	0.000273523343378989	0.000410285015068483	***	P < 0.001	P < 0.001
LGG	Chronic inflammation	0.0547503705068705	0.059727676916586	ns	P = 0.0548	P = 0.0597
LGG	Extracellular matrix changes	0.0013760024373664	0.00183466991648853	**	P = 0.00138	P = 0.00183
LIHC	Genomic instability	2.03937840634111e-25	1.22362704380467e-24	****	P < 0.001	P < 0.001
LIHC	Telomere attrition	4.21982166522222e-17	1.26594649956667e-16	****	P < 0.001	P < 0.001
LIHC	Epigenetic alterations	4.68865428216418e-06	1.1252770277194e-05	****	P < 0.001	P < 0.001
