Cancer	Feature	P	FDR	Significance	P_label	FDR_label
BRCA	HALLMARK_HYPOXIA	0.207279272072793	0.280107124422693	ns	P = 0.207	P = 0.28
BRCA	HALLMARK_IL2_STAT5_SIGNALING	0.330766923307669	0.413458654134586	ns	P = 0.331	P = 0.413
BRCA	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.509149085091491	0.620913518404257	ns	P = 0.509	P = 0.621
BRCA	HALLMARK_INFLAMMATORY_RESPONSE	0.617938206179382	0.735640721642122	ns	P = 0.618	P = 0.736
BRCA	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0002999700029997	0.000714214292856429	***	P < 0.001	P < 0.001
BRCA	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0031996800319968	0.00615323083076308	**	P = 0.0032	P = 0.00615
BRCA	HALLMARK_KRAS_SIGNALING_DN	0.873112688731127	0.986490101658641	ns	P = 0.873	P = 0.986
BRCA	HALLMARK_KRAS_SIGNALING_UP	0.93960603939606	1	ns	P = 0.94	P = 1
BRCA	HALLMARK_MITOTIC_SPINDLE	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_MTORC1_SIGNALING	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_MYC_TARGETS_V1	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_MYC_TARGETS_V2	0.000100040016006403	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_MYOGENESIS	0.998600139986001	1	ns	P = 0.999	P = 1
BRCA	HALLMARK_NOTCH_SIGNALING	0.13813542294555	0.209296095372045	ns	P = 0.138	P = 0.209
BRCA	HALLMARK_OXIDATIVE_PHOSPHORYLATION	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_P53_PATHWAY	0.0014998500149985	0.00312468753124688	**	P = 0.0015	P = 0.00312
BRCA	HALLMARK_PANCREAS_BETA_CELLS	0.85886006210558	0.986490101658641	ns	P = 0.859	P = 0.986
BRCA	HALLMARK_PEROXISOME	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
