Cancer	Feature	P	FDR	Significance	P_label	FDR_label
LGG	Replication stress	8.97641133900583e-37	1.61575404102105e-36	****	P < 0.001	P < 0.001
LGG	TLS	2.37285853756108e-35	3.55928780634162e-35	****	P < 0.001	P < 0.001
LIHC	BER	9.52295890326648e-05	0.000106482376782743	***	P < 0.001	P < 0.001
LIHC	DNA damage checkpoint	1.61837245632078e-38	1.4565352106887e-37	****	P < 0.001	P < 0.001
LIHC	FA	1.55358424298495e-29	6.99112909343227e-29	****	P < 0.001	P < 0.001
LIHC	HR	3.71203426320412e-25	8.35207709220927e-25	****	P < 0.001	P < 0.001
LIHC	MMR	2.37553651371596e-25	7.12660954114788e-25	****	P < 0.001	P < 0.001
LIHC	NER	0.000106482376782743	0.000106482376782743	***	P < 0.001	P < 0.001
LIHC	NHEJ	8.65263569963113e-18	1.29789535494467e-17	****	P < 0.001	P < 0.001
LIHC	Replication stress	2.0029955222986e-18	3.60539194013748e-18	****	P < 0.001	P < 0.001
LIHC	TLS	9.97960685786688e-15	1.28309231029717e-14	****	P < 0.001	P < 0.001
LUAD	BER	4.11478031753443e-13	5.29043183682999e-13	****	P < 0.001	P < 0.001
LUAD	DNA damage checkpoint	1.28589958488204e-38	1.15730962639384e-37	****	P < 0.001	P < 0.001
LUAD	FA	2.62043794116539e-32	7.86131382349618e-32	****	P < 0.001	P < 0.001
LUAD	HR	3.38720937137596e-31	7.62122108559591e-31	****	P < 0.001	P < 0.001
LUAD	MMR	4.75862035541154e-33	2.14137915993519e-32	****	P < 0.001	P < 0.001
LUAD	NER	1.89648074800048e-11	1.89648074800048e-11	****	P < 0.001	P < 0.001
LUAD	NHEJ	6.80822997971595e-13	7.65925872718045e-13	****	P < 0.001	P < 0.001
LUAD	Replication stress	8.43213243854326e-27	1.51778383893779e-26	****	P < 0.001	P < 0.001
LUAD	TLS	8.7892169010012e-20	1.31838253515018e-19	****	P < 0.001	P < 0.001
LUSC	BER	9.19084063922437e-28	1.18167951075742e-27	****	P < 0.001	P < 0.001
LUSC	DNA damage checkpoint	4.87672114658981e-49	4.38904903193082e-48	****	P < 0.001	P < 0.001
LUSC	FA	1.70411985723429e-44	5.11235957170287e-44	****	P < 0.001	P < 0.001
LUSC	HR	1.29960632753097e-46	5.84822847388937e-46	****	P < 0.001	P < 0.001
LUSC	MMR	1.97302478510828e-28	2.95953717766243e-28	****	P < 0.001	P < 0.001
LUSC	NER	3.46544480450399e-14	3.89862540506699e-14	****	P < 0.001	P < 0.001
LUSC	NHEJ	2.80497630716638e-07	2.80497630716638e-07	****	P < 0.001	P < 0.001
LUSC	Replication stress	7.52414363558169e-33	1.69293231800588e-32	****	P < 0.001	P < 0.001
LUSC	TLS	1.82915630670525e-28	2.95953717766243e-28	****	P < 0.001	P < 0.001
MESO	BER	0.0192536966105679	0.0216604086868889	*	P = 0.0193	P = 0.0217
MESO	DNA damage checkpoint	6.41471514160752e-12	5.77324362744677e-11	****	P < 0.001	P < 0.001
MESO	FA	6.44418978499863e-08	1.93325693549959e-07	****	P < 0.001	P < 0.001
MESO	HR	2.04106075808262e-09	9.18477341137179e-09	****	P < 0.001	P < 0.001
MESO	MMR	7.16623756612484e-06	1.28992276190247e-05	****	P < 0.001	P < 0.001
MESO	NER	0.000766236149985136	0.0011493542249777	**	P < 0.001	P = 0.00115
MESO	NHEJ	0.036689786162508	0.036689786162508	*	P = 0.0367	P = 0.0367
MESO	Replication stress	0.00119858633900712	0.00154103957872344	**	P = 0.0012	P = 0.00154
MESO	TLS	3.63171654666491e-07	8.17136222999604e-07	****	P < 0.001	P < 0.001
OV	BER	0.000139410642059167	0.000139410642059167	***	P < 0.001	P < 0.001
OV	DNA damage checkpoint	3.99049547327484e-31	3.59144592594735e-30	****	P < 0.001	P < 0.001
OV	FA	6.85339790445674e-18	1.54201452850277e-17	****	P < 0.001	P < 0.001
OV	HR	4.86194300010871e-14	7.29291450016306e-14	****	P < 0.001	P < 0.001
OV	MMR	1.77600101199993e-21	5.3280030359998e-21	****	P < 0.001	P < 0.001
OV	NER	8.63550941044383e-14	1.11027978134278e-13	****	P < 0.001	P < 0.001
OV	NHEJ	1.19132935848664e-06	1.34024552829747e-06	****	P < 0.001	P < 0.001
OV	Replication stress	1.21873343544524e-15	2.19372018380144e-15	****	P < 0.001	P < 0.001
OV	TLS	2.1336609782467e-29	9.60147440211013e-29	****	P < 0.001	P < 0.001
PAAD	BER	0.8182261440392	0.8182261440392	ns	P = 0.818	P = 0.818
