Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,SignedLog10FDR,AbsEffect,NegLog10FDR,Direction,EffectScaledWithinFeature,LowValue,HighValue,SigLabel,DirectionCol,mu,sdv,z_low,z_high
LGG,Dendritic_cells_quantiseq,Dendritic Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,261,271,0.08797360296863,0.107995625810721,0.0200220228420914,4.95558615946026e-07,3.22113100364917e-06,****,P=4.96e-07,FDR=3.22e-06,Dendritic Cells,5.49199161203067,0.0200220228420914,5.49199161203067,Higher in High,1.29474990434311,0.08797360296863,0.107995625810721,****,Higher in High,0.017825794165454,0.0327037082601815,2.14494968720671,2.75717453592422
LGG,Plasma_cells_xCell,Plasma Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,261,271,6.04551802670378e-08,9.40057682013791e-08,3.35505879343412e-08,6.5281474620159e-06,3.39463668024827e-05,****,P=6.53e-06,FDR=3.39e-05,Plasma Cells,4.46920670038403,3.35505879343412e-08,4.46920670038403,Higher in High,2.04004757794528,6.04551802670378e-08,9.40057682013791e-08,****,Higher in High,9.44571571233548e-08,4.23752455143657e-08,-0.802401884486781,-0.0106521842291795
LGG,Macrophages_M2_quantiseq,Macrophages M2,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,261,271,0.0384481186361467,0.0555936130409538,0.017145494404807,0.000563804895066354,0.00209413246738931,**,P=5.64e-04,FDR=0.00209,Macrophages M2,2.67899584986033,0.017145494404807,2.67899584986033,Higher in High,1.41830877558792,0.0384481186361467,0.0555936130409538,**,Higher in High,0.0231463529696297,0.0262934944110316,0.581960139162678,1.23404137784405
LGG,Macrophages_M2_xCell,Macrophages M2,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM2,261,271,3.7846626506717e-25,1.24141964961278e-26,-3.66052068571042e-25,0.0200841437367147,0.0522187737154583,ns,P=0.0201,FDR=0.0522,Macrophages M2,-1.28217333118912,3.66052068571042e-25,1.28217333118912,Lower in High,0.0562669101648115,3.7846626506717e-25,1.24141964961278e-26,"",Higher in Low,0.0231463529696297,0.0262934944110316,-0.880307220021637,-0.880307220021637
LGG,CD4_Tcells_EPIC,CD4 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,261,271,0.0475307373370702,0.0461927324536516,-0.00133800488341857,0.0252497155577069,0.0596811458636708,ns,P=0.0252,FDR=0.0597,CD4 Tcells,-1.22416284710556,0.00133800488341857,1.22416284710556,Lower in High,-0.875041599155361,0.0475307373370702,0.0461927324536516,"",Higher in Low,0.0518330386274207,0.012507942625157,-0.343965544077356,-0.450937963404536
LGG,Neutrophils_xCell,Neutrophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NEUTROPHILS,261,271,5.02196812080261e-24,0,-5.02196812080261e-24,0.272179427339016,0.428888794594812,ns,P=0.272,FDR=0.429,Neutrophils,-0.367655300250113,5.02196812080261e-24,0.367655300250113,Lower in High,-0.509744534966612,5.02196812080261e-24,0,"",Higher in Low,3.02698371891396,4.55524360176106,-0.664505344509728,-0.664505344509728
LGG,Neutrophils_quantiseq,Neutrophils,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NEUTROPHILS,261,271,0,0,0,0.328264115995992,0.494016062139396,ns,P=0.328,FDR=0.494,Neutrophils,0,0,0.306258930458733,No median difference,-0.509744534966612,0,0,"",Higher in High,3.02698371891396,4.55524360176106,-0.664505344509728,-0.664505344509728
LGG,NK_cells_xCell,NK Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NKCELLS,261,271,0,0,0,0.389760940465974,0.538289806179663,ns,P=0.39,FDR=0.538,NK Cells,0,0,0.268983844523604,No median difference,-0.297977533827702,0,0,"",Higher in High,0.114413948640058,0.163984349433366,-0.697712611205921,-0.697712611205921
LGG,NK_cells_quantiseq,NK Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,261,271,0.08516094400094,0.0813073365730811,-0.00385360742785888,0.78046910310234,0.863497731091951,ns,P=0.78,FDR=0.863,NK Cells,-0.0637387992378544,0.00385360742785888,0.0637387992378544,Lower in High,-0.352933619884371,0.08516094400094,0.0813073365730811,"",Higher in Low,0.114413948640058,0.163984349433366,-0.17838900322012,-0.201888852084811
LUAD,Plasma_cells_xCell,Plasma Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,298,299,1.80008894860032e-07,8.30315553277808e-08,-9.69773395322516e-08,1.78151121876132e-10,9.26385833755887e-09,****,P=1.78e-10,FDR=9.26e-09,Plasma Cells,-8.03320809477455,9.69773395322516e-08,8.03320809477455,Lower in High,-1.79366292741224,1.80008894860032e-07,8.30315553277808e-08,****,Higher in Low,9.44571571233548e-08,4.23752455143657e-08,2.01890836733145,-0.269629158648783
LUAD,NK_cells_quantiseq,NK Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,298,299,0.00832914155693658,0.010559922968007,0.00223078141107042,3.76148397354646e-06,6.5199055541472e-05,****,P=3.76e-06,FDR=6.52e-05,NK Cells,4.18575869531253,0.00223078141107042,4.18575869531253,Higher in High,-0.266164481383874,0.00832914155693658,0.010559922968007,****,Higher in High,0.114413948640058,0.163984349433366,-0.646920315564799,-0.633316691689846
