Cancer,Sample,Sample_key,Feature,Value,Group,Feature_Display
ACC,TCGA-OR-A5KY-01A-11R-A29S-07,TCGA-OR-A5KY-01A,TumorPurity,0.851328947476896,High,TumorPurity
ACC,TCGA-OR-A5LN-01A-11R-A29S-07,TCGA-OR-A5LN-01A,StromalScore,-377.887088670535,Low,StromalScore
ACC,TCGA-OR-A5LN-01A-11R-A29S-07,TCGA-OR-A5LN-01A,ImmuneScore,1137.36658357937,Low,ImmuneScore
ACC,TCGA-OR-A5LN-01A-11R-A29S-07,TCGA-OR-A5LN-01A,ESTIMATEScore,759.479494908834,Low,ESTIMATEScore
ACC,TCGA-OR-A5LN-01A-11R-A29S-07,TCGA-OR-A5LN-01A,TumorPurity,0.754128680140113,Low,TumorPurity
ACC,TCGA-OR-A5K2-01A-11R-A29S-07,TCGA-OR-A5K2-01A,StromalScore,-661.753521981857,High,StromalScore
ACC,TCGA-OR-A5K2-01A-11R-A29S-07,TCGA-OR-A5K2-01A,ImmuneScore,-54.6085431194158,High,ImmuneScore
ACC,TCGA-OR-A5K2-01A-11R-A29S-07,TCGA-OR-A5K2-01A,ESTIMATEScore,-716.362065101272,High,ESTIMATEScore
ACC,TCGA-OR-A5K2-01A-11R-A29S-07,TCGA-OR-A5K2-01A,TumorPurity,0.87766234510877,High,TumorPurity
ACC,TCGA-P6-A5OG-01A-22R-A29S-07,TCGA-P6-A5OG-01A,StromalScore,986.039399980983,High,StromalScore
ACC,TCGA-P6-A5OG-01A-22R-A29S-07,TCGA-P6-A5OG-01A,ImmuneScore,1935.82827169797,High,ImmuneScore
ACC,TCGA-P6-A5OG-01A-22R-A29S-07,TCGA-P6-A5OG-01A,ESTIMATEScore,2921.86767167896,High,ESTIMATEScore
ACC,TCGA-P6-A5OG-01A-22R-A29S-07,TCGA-P6-A5OG-01A,TumorPurity,0.511485665757336,High,TumorPurity
ACC,TCGA-OR-A5JV-01A-11R-A29S-07,TCGA-OR-A5JV-01A,StromalScore,54.2273121515328,Low,StromalScore
ACC,TCGA-OR-A5JV-01A-11R-A29S-07,TCGA-OR-A5JV-01A,ImmuneScore,1478.04413943533,Low,ImmuneScore
ACC,TCGA-OR-A5JV-01A-11R-A29S-07,TCGA-OR-A5JV-01A,ESTIMATEScore,1532.27145158686,Low,ESTIMATEScore
ACC,TCGA-OR-A5JV-01A-11R-A29S-07,TCGA-OR-A5JV-01A,TumorPurity,0.674944475864399,Low,TumorPurity
ACC,TCGA-OR-A5J9-01A-11R-A29S-07,TCGA-OR-A5J9-01A,StromalScore,-812.039288181197,High,StromalScore
ACC,TCGA-OR-A5J9-01A-11R-A29S-07,TCGA-OR-A5J9-01A,ImmuneScore,-548.833235091731,High,ImmuneScore
ACC,TCGA-OR-A5J9-01A-11R-A29S-07,TCGA-OR-A5J9-01A,ESTIMATEScore,-1360.87252327293,High,ESTIMATEScore
ACC,TCGA-OR-A5J9-01A-11R-A29S-07,TCGA-OR-A5J9-01A,TumorPurity,0.919012970057224,High,TumorPurity
ACC,TCGA-OR-A5K1-01A-11R-A29S-07,TCGA-OR-A5K1-01A,StromalScore,-476.71154355297,Low,StromalScore
ACC,TCGA-OR-A5K1-01A-11R-A29S-07,TCGA-OR-A5K1-01A,ImmuneScore,192.094487262274,Low,ImmuneScore
ACC,TCGA-OR-A5K1-01A-11R-A29S-07,TCGA-OR-A5K1-01A,ESTIMATEScore,-284.617056290697,Low,ESTIMATEScore
ACC,TCGA-OR-A5K1-01A-11R-A29S-07,TCGA-OR-A5K1-01A,TumorPurity,0.845546324814695,Low,TumorPurity
ACC,TCGA-OR-A5LB-01A-11R-A29S-07,TCGA-OR-A5LB-01A,StromalScore,-1083.85296562951,High,StromalScore
ACC,TCGA-OR-A5LB-01A-11R-A29S-07,TCGA-OR-A5LB-01A,ImmuneScore,-913.10367576575,High,ImmuneScore
ACC,TCGA-OR-A5LB-01A-11R-A29S-07,TCGA-OR-A5LB-01A,ESTIMATEScore,-1996.95664139526,High,ESTIMATEScore
ACC,TCGA-OR-A5LB-01A-11R-A29S-07,TCGA-OR-A5LB-01A,TumorPurity,0.951765393926979,High,TumorPurity
ACC,TCGA-OR-A5JP-01A-11R-A29S-07,TCGA-OR-A5JP-01A,StromalScore,-558.279260578845,High,StromalScore
ACC,TCGA-OR-A5JP-01A-11R-A29S-07,TCGA-OR-A5JP-01A,ImmuneScore,-651.479420901293,High,ImmuneScore
ACC,TCGA-OR-A5JP-01A-11R-A29S-07,TCGA-OR-A5JP-01A,ESTIMATEScore,-1209.75868148014,High,ESTIMATEScore
ACC,TCGA-OR-A5JP-01A-11R-A29S-07,TCGA-OR-A5JP-01A,TumorPurity,0.910042950348835,High,TumorPurity
ACC,TCGA-OR-A5JF-01A-11R-A29S-07,TCGA-OR-A5JF-01A,StromalScore,-741.954784318354,Low,StromalScore
