Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,FDR_star,Feature_Display,Feature_Order,.center,.scale,Low_Z,High_Z,Diff_Z,Direction
LUAD,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,TAMM2,258,258,-0.00513745632271483,-0.00775092640165545,-0.00261347007894062,0.00027748361876289,0.00046247269793815,***,P=2.77e-04,FDR=4.62e-04,TAM M2__TIDEpy,***,TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.377755143868275,-0.646587891985123,-0.268832748116848,Higher in Low
LUAD,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,298,299,0.0383343344255269,0.0413434118222636,0.00300907739673666,0.0283267916986375,0.0354084896232968,*,P=0.0283,FDR=0.0354,Tregs_quantiseq__quanTIseq,*,Tregs,3,0.0151061726920464,0.0100027166865107,2.32218530839777,2.62301132307383,0.300826014676055,Higher in High
LUSC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUSC/LUSC_TIDE_score_long.csv,DYSFUNCTION,250,251,-0.176545741095776,-0.377800408414211,-0.201254667318435,8.56985741565935e-31,4.28492870782968e-30,****,P=8.57e-31,FDR=4.28e-30,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.530310403898085,-2.55223635977118,-2.0219259558731,Higher in Low
LUSC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUSC/LUSC_TIDE_score_long.csv,MDSC,250,251,0.009721934861977,0.0249233668249251,0.0152014319629481,7.0705730360201e-25,1.76764325900502e-24,****,P=7.07e-25,FDR=1.77e-24,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.872557639121881,0.0628069113292092,0.93536455045109,Higher in High
LUSC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUSC/LUSC_TIDE_score_long.csv,TAMM2,250,251,-0.00905881620962633,-0.00122002225990813,0.0078387939497182,4.1491684699302e-10,6.91528078321699e-10,****,P=4.15e-10,FDR=6.92e-10,TAM M2__TIDEpy,****,TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.781123050487244,0.0252089356354655,0.80633198612271,Higher in High
LUSC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,276,275,0.0262539350508374,0.0187157857036203,-0.00753814934721714,9.49524471875595e-06,1.18690558984449e-05,****,P=9.50e-06,FDR=1.19e-05,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,1.11447346837529,0.360863265920711,-0.753610202454575,Higher in Low
TGCT,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,DYSFUNCTION,75,75,-0.197759289442901,-0.324735076289693,-0.126975786846792,7.27019522865854e-07,3.63509761432927e-06,****,P=7.27e-07,FDR=3.64e-06,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.743434524648809,-2.01910997910532,-1.27567545445651,Higher in Low
TGCT,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,TAMM2,75,75,0.00466536328097895,0.0122038266045341,0.00753846332355515,0.000101689611594512,0.000172124970743625,***,P=1.02e-04,FDR=1.72e-04,TAM M2__TIDEpy,***,TAM M2,4,-0.00146509210153543,0.00972154656472386,0.630604949706222,1.40604363874256,0.775438689036334,Higher in High
TGCT,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,MDSC,75,75,0.0275599098330191,0.0496479040216954,0.0220879941886763,0.000103274982446175,0.000172124970743625,***,P=1.03e-04,FDR=1.72e-04,MDSC__TIDEpy,***,MDSC,2,0.0239026364702057,0.0162518795004761,0.225036948046917,1.58414093279091,1.359103984744,Higher in High
TGCT,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,77,79,0.0210518683592178,0.0189956452403442,-0.00205622311887364,0.618414929267727,0.618414929267727,ns,P=0.618,FDR=0.618,Tregs_quantiseq__quanTIseq,"",Tregs,3,0.0151061726920464,0.0100027166865107,0.594408084674585,0.388841618751728,-0.205566465922857,Higher in Low
