Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,Feature_Label,FDR_significance_rule,Effect_z,Signed_FDR_score
KICH,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KICH/KICH_TIDE_score_long.csv,TAMM2,32,33,-0.0139865216106369,-0.0139887447814309,-2.22317079399958e-06,0.466461398977925,0.583076748722406,"",P=0.466,FDR=0.583,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.36720155134077,0
KICH,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KICH/KICH_TIDE_score_long.csv,MDSC,32,33,0.00530053964998253,0.0037775476791545,-0.00152299197082803,0.747847327586818,0.747847327586818,"",P=0.748,FDR=0.748,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-1.50192054328804,0
KIRC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,306,307,0.013323914599485,0.0188361990340208,0.00551228443453579,1.37467570202755e-06,6.87337851013775e-06,****,P=1.37e-06,FDR=6.87e-06,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.38060302611638,4
KIRC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,TAMM2,266,266,-0.0117563586080741,-0.0137861068442685,-0.00202974823619445,0.00159760509905484,0.00399401274763711,**,P=0.0016,FDR=0.00399,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.826904552228416,-2.39859055333121
KIRC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,DYSFUNCTION,266,266,-0.0740723091809764,-0.0884291563127808,-0.0143568471318044,0.0032909196754803,0.0054848661258005,**,P=0.00329,FDR=0.00548,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",1.36519355930449,-2.26083396818693
KIRC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,MDSC,266,266,0.0145808830187733,0.0185793347061559,0.0039984516873826,0.0054153954337945,0.00676924429224313,**,P=0.00542,FDR=0.00677,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.763315755265074,2.16945981255975
KIRP,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,DYSFUNCTION,145,145,-0.0991377058195636,-0.172762181615818,-0.0736244757962544,1.59373345651619e-11,7.96866728258093e-11,****,P=1.59e-11,FDR=7.97e-11,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.141880024008582,-4
KIRP,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,MDSC,145,145,-0.000398714094730744,0.00947128510918472,0.00986999920391546,5.25471219164557e-06,1.31367804791139e-05,****,P=5.25e-06,FDR=1.31e-05,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.0221225064052327,4
KIRP,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,TAMM2,145,145,-0.00629605418060469,-0.00912887772356658,-0.00283282354296189,3.76241601828009e-05,6.27069336380015e-05,****,P=3.76e-05,FDR=6.27e-05,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-1.00898670487832,-4
KIRP,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,159,164,0.00277135476729817,0.00480788638565752,0.00203653161835935,0.000100279722856376,0.00012534965357047,***,P=1.00e-04,FDR=1.25e-04,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.189023811789671,3.90187686196617
