Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,Direction,Feature_Label,Feature_Main_Label,OrderEffect
BLCA,Endothelial_EPIC,Endothelial,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,-0.0923335972857662,-0.347602375711038,1.21577682095002e-07,2.1073464896467e-06,-0.255268778425272,-0.255268778425272,****,Higher in Low,"Endothelial
(EPIC)",Endothelial,-0.255268778425272
BLCA,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.441569592486402,-0.269624721675484,0.000201556468657884,0.002096187274042,0.171944870810917,0.171944870810917,**,Higher in High,"NK Cells
(quanTIseq)",NK Cells,0.171944870810917
BLCA,Cytotoxic_lymphocytes_MCPcounter,Cytotoxic Lymphocytes,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),CYTOTOXICLYMPHOCYTES,-0.344536939071855,-0.286357419438902,0.000453786132294701,0.00393281314655407,0.058179519632953,0.058179519632953,**,Higher in High,"Cytotoxic Lymphocytes
(MCP-counter)",Cytotoxic Lymphocytes,0.058179519632953
BLCA,NKT_xCell,NKt,xCell,IOBR::deconvo_tme(method='xcell'),NKT,-0.330679360138405,-0.330679360138413,0.00147715720616001,0.0109731678171886,-7.43849426498855e-15,-7.43849426498855e-15,*,Higher in Low,"NKt
(xCell)",NKt,-7.43849426498855e-15
BLCA,Myeloid_dendritic_cells_MCPcounter,Myeloid Dendritic Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),MYELOIDDENDRITICCELLS,-0.13286558461574,-0.147148539014566,0.0217129011337035,0.0992677998500159,-0.014282954398826,-0.014282954398826,"",Higher in Low,"Myeloid Dendritic Cells
(MCP-counter)",Myeloid Dendritic Cells,0
BLCA,Macrophages_M1_quantiseq,Macrophages M1,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM1,-0.540389974298006,-0.240077487969698,0.0229079538115421,0.0992677998500159,0.300312486328308,0.300312486328308,"",Higher in High,"Macrophages M1
(quanTIseq)",Macrophages M1,0
BLCA,Mast_cells_xCell,Mast Cells,xCell,IOBR::deconvo_tme(method='xcell'),MASTCELLS,-0.521200700665816,0.165904925378446,0.0361757631649826,0.14470305265993,0.687105626044262,0.687105626044262,"",Higher in High,"Mast Cells
(xCell)",Mast Cells,0
BLCA,T_cells_CD4_quantiseq,t Cells CD4,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TCELLSCD4,-0.356781063104535,-0.356781063104535,0.0398149090027888,0.147883947724644,0,0,"",Higher in High,"t Cells CD4
(quanTIseq)",t Cells CD4,0
BLCA,T_cells_CD8_quantiseq,t Cells CD8,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TCELLSCD8,-0.184737457995848,-0.174392991994118,0.0494664178812052,0.171483581988178,0.0103444660017306,0.0103444660017306,"",Higher in High,"t Cells CD8
(quanTIseq)",t Cells CD8,0
BLCA,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,0.154525300670924,0.390505243824932,0.0613862523522035,0.199505320144662,0.235979943154008,0.235979943154008,"",Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,0
