Cancer	Feature	Median_Low	Median_High	High_minus_Low_effect	FDR	Significance
THCA	CD274	3.02201264438046	3.06451191726156	0.0424992728811091	0.70504726008821	""
HNSC	CD274	3.07724299893246	3.08663150082915	0.00938850189668594	0.355438057923636	""
LUAD	CD274	2.97473070906398	3.5101517577843	0.535421048720318	3.22767454268421e-06	****
READ	CD274	1.22657018212556	1.78793389360408	0.561363711478518	0.00336375826700448	**
THYM	CD274	4.86029932148729	4.55620004231025	-0.304099279177036	0.272410188849311	""
LAML	CD274	0.732833574740929	1.20608053821136	0.473246963470432	0.000497135007081423	***
ACC	CD274	0.765959006045755	0.676081850132627	-0.0898771559131277	0.821387576064578	""
ESCA	CD274	2.41058533253684	2.34211301806215	-0.0684723144746919	0.725537718136614	""
TGCT	CD274	2.0913951860117	2.62112585407343	0.529730668061729	0.578123943033316	""
CESC	CD274	3.27493252620329	2.83259961567284	-0.442332910530447	0.181117518043995	""
MESO	CD274	1.86405734896181	2.24441018982502	0.38035284086321	0.970048359479116	""
SKCM	CD274	2.10356346547311	2.1362898380034	0.0327263725302966	0.890038317670274	""
DLBC	CD274	3.45116868021331	4.2090629379499	0.757894257736596	0.175903060043799	""
CHOL	CD274	1.11007437917062	1.49349362958305	0.383419250412428	0.939628144702672	""
UCS	CD274	0.606283723191142	0.977463111239467	0.371179388048325	0.993631985161221	""
GBM	CD274	2.42594262868687	2.24281788225926	-0.183124746427602	0.198557645165609	""
SARC	CD274	1.67872666185874	2.03945427794447	0.360727616085733	0.110096561047383	""
LUSC	CD274	3.3054906194596	3.52369994637454	0.21820932691494	0.107590902187024	""
PRAD	IDO1	1.72652312629064	2.16517231793717	0.438649191646526	2.48798748685744e-06	****
LIHC	IDO1	0.871133777183755	1.07315945297802	0.202025675794263	0.00164453296499253	**
LGG	IDO1	0.0243196791954129	0.110229592423189	0.085909913227776	1.64757937822776e-10	****
KIRC	IDO1	4.21929492395486	4.43047262380473	0.211177699849872	0.318494801712746	""
UVM	IDO1	0.0975573535630697	0.347831734686046	0.250274381122976	0.0097709316439822	**
STAD	IDO1	2.59143498104856	3.31841015939223	0.726975178343672	0.00371059996205338	**
COAD	IDO1	2.43388781759979	2.75522943379768	0.321341616197888	0.075902085560306	""
PAAD	IDO1	2.23817541857738	2.928898202209	0.690722783631629	0.00244703609597025	**
BLCA	IDO1	2.21211035039448	2.91808086984771	0.705970519453227	0.0690129010957405	""
UCEC	IDO1	4.60204242060206	4.61559874144712	0.0135563208450584	0.838400553325956	""
KIRP	IDO1	1.23511432037636	1.47012545935484	0.235011138978482	0.16529362584346	""
