Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
LUAD,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,CAF,258,258,0.0205673982830664,0.0384525320965926,0.0178851338135262,9.07997773520535e-21,6.35598441464375e-20,****,P=9.08e-21,FDR=6.36e-20,CAF,0.0394390710931143,0.0312357940078499,-0.604168179790954,-0.0315836055351666,0.572584574255787,****
LUAD,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,298,299,0.27157800356605,0.278547836831338,0.00696983326528838,0.613102581074527,0.832404422457592,ns,P=0.613,FDR=0.832,EMT,0.266999790790937,0.124680700020625,0.0367194984817671,0.0926209592863264,0.0559014608045593,""
LUAD,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,298,299,0.0871375431584457,0.0708689078935287,-0.016268635264917,0.0144391446310748,0.0505370062087619,*,P=0.0144,FDR=0.0505,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.51827532017993e+21,2.04811170073803e+21,-4.70163619441896e+20,""
LUAD,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,EXCLUSION,258,258,0.26535025428362,0.563168015865765,0.297817761582145,4.8695603862489e-22,6.81738454074845e-21,****,P=4.87e-22,FDR=6.82e-21,Exclusion score,0.518559332003667,0.260469451282052,-0.972125815421848,0.171262632306901,1.14338844772875,****
LUAD,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,298,299,195.02011875,260.060275,65.04015625,0.000224267052163373,0.00104657957676241,***,P=2.24e-04,FDR=0.00105,Fibroblasts,1.197275,1.775079915,109.191052251864,145.831744144319,36.6406918924549,**
LUAD,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,298,299,0.336024668647038,0.334372337817071,-0.00165233082996696,0.70578944896168,0.832404422457592,ns,P=0.706,FDR=0.832,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.511190397837367,-0.522761411643989,-0.0115710138066226,""
TGCT,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,CAF,75,75,0.0187753541348765,0.0191410945691081,0.000365740434231598,0.69308908218162,0.746403626964822,ns,P=0.693,FDR=0.746,CAF,0.0394390710931143,0.0312357940078499,-0.661539673140524,-0.649830656422726,0.0117090167177976,""
TGCT,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,77,79,0.182305901679797,0.134044707801394,-0.0482611938784035,0.00297339568623988,0.0208137698036792,**,P=0.00297,FDR=0.0208,EMT,0.266999790790937,0.124680700020625,-0.679286281654896,-1.06636458543743,-0.387078303782538,*
TGCT,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,77,79,10.1527333333333,12.7888033333333,2.63607,0.00627643674937909,0.0292900381637691,**,P=0.00628,FDR=0.0293,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.93414030955763e+23,3.69596463724104e+23,7.61824327683409e+22,*
TGCT,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,EXCLUSION,75,75,0.482454831040272,0.63400332328625,0.151548492245978,0.0387058625056162,0.108376415015725,*,P=0.0387,FDR=0.108,Exclusion score,0.518559332003667,0.260469451282052,-0.138613187787225,0.443215089962982,0.581828277750207,""
TGCT,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,77,79,173.152625,124.2998125,-48.8528125,0.0542565427507355,0.126598599751716,ns,P=0.0543,FDR=0.127,Fibroblasts,1.197275,1.775079915,96.8718921029536,69.3504199217983,-27.5214721811553,""
TGCT,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,77,79,0.335234096887177,0.438904696786489,0.103670599899313,3.44091274670108e-09,4.81727784538151e-08,****,P=3.44e-09,FDR=4.82e-08,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.516726647953005,0.209262313228415,0.72598896118142,****
THCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,CAF,252,252,0.0609118629812948,0.077551652798388,0.0166397898170932,5.26211581656571e-11,3.683481071596e-10,****,P=5.26e-11,FDR=3.68e-10,CAF,0.0394390710931143,0.0312357940078499,0.687441845812666,1.22015728800413,0.532715442191463,****
THCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,287,284,0.214265947513676,0.207589010694085,-0.00667693681959175,0.59301325285772,0.754744140000735,ns,P=0.593,FDR=0.755,EMT,0.266999790790937,0.124680700020625,-0.422951132521213,-0.476503421034884,-0.0535522885136712,""
THCA,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,287,284,18.6720633333333,28.1229333333333,9.45087,6.21416645742292e-17,8.69983304039209e-16,****,P=6.21e-17,FDR=8.70e-16,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,5.3962269952538e+23,8.12752877546954e+23,2.73130178021574e+23,****
THCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,EXCLUSION,252,252,0.586471702378295,0.694367239644139,0.107895537265844,3.98198495649582e-09,1.85825964636472e-08,****,P=3.98e-09,FDR=1.86e-08,Exclusion score,0.518559332003667,0.260469451282052,0.260730653980181,0.674965554598174,0.414234900617992,****
THCA,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,287,284,62.2612625,70.23795625,7.97669375,0.0249513575541436,0.0499027151082872,*,P=0.025,FDR=0.0499,Fibroblasts,1.197275,1.775079915,34.400697672251,38.8944073258809,4.49370965362987,*
THCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,287,284,0.524951116314876,0.563163392038104,0.0382122757232275,8.08904246947603e-09,2.83116486431661e-08,****,P=8.09e-09,FDR=2.83e-08,TGF-beta signaling,0.409022218252099,0.142799140816971,0.811831901785497,1.07942647906804,0.267594577282545,****
UCEC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/UCEC/UCEC_TIDE_score_long.csv,CAF,272,273,0.0322256501015357,0.0439929236109772,0.0117672735094415,1.98085457000837e-09,1.38659819900586e-08,****,P=1.98e-09,FDR=1.39e-08,CAF,0.0394390710931143,0.0312357940078499,-0.230934452627193,0.145789555300516,0.376724007927708,****
UCEC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,280,297,0.340911042345874,0.284674267371375,-0.056236774974499,0.0259333628864156,0.0518667257728312,*,P=0.0259,FDR=0.0519,EMT,0.266999790790937,0.124680700020625,0.592804271572989,0.141757919048532,-0.451046352524457,""
UCEC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,280,297,7.69216,8.61527,0.923110000000001,0.000296035288504462,0.000886710562755083,***,P=2.96e-04,FDR=8.87e-04,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.22303452504418e+23,2.48981334925137e+23,2.66778824207184e+22,***
UCEC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/UCEC/UCEC_TIDE_score_long.csv,EXCLUSION,272,273,0.49769043178146,0.68683099799283,0.18914056621137,7.32780251281355e-18,1.0258923517939e-16,****,P=7.33e-18,FDR=1.03e-16,Exclusion score,0.518559332003667,0.260469451282052,-0.0801203370279627,0.646032251232981,0.726152588260943,****
UCEC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,280,297,124.33945,147.6986,23.35915,0.00601709282019522,0.0140398832471222,**,P=0.00602,FDR=0.014,Fibroblasts,1.197275,1.775079915,69.3727499023614,82.5322419357103,13.1594920333488,*
UCEC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,280,297,0.442095769364944,0.482815374788019,0.0407196054230747,1.42112074466513e-08,6.63189680843729e-08,****,P=1.42e-08,FDR=6.63e-08,TGF-beta signaling,0.409022218252099,0.142799140816971,0.231608894308655,0.516761908466256,0.285153014157601,****
