Cancer,Sample,Sample_key,Feature,Value,Group,Feature_Display
THCA,TCGA-BJ-A28R-01A-11R-A16R-07,TCGA-BJ-A28R-01A,ImmuneScore,999.997892473335,Low,ImmuneScore
THCA,TCGA-BJ-A28R-01A-11R-A16R-07,TCGA-BJ-A28R-01A,ESTIMATEScore,649.228888095115,Low,ESTIMATEScore
THCA,TCGA-BJ-A28R-01A-11R-A16R-07,TCGA-BJ-A28R-01A,TumorPurity,0.764657605884961,Low,TumorPurity
THCA,TCGA-EL-A3ZN-01A-11R-A23N-07,TCGA-EL-A3ZN-01A,StromalScore,-127.4600588201,Low,StromalScore
THCA,TCGA-EL-A3ZN-01A-11R-A23N-07,TCGA-EL-A3ZN-01A,ImmuneScore,189.120883034964,Low,ImmuneScore
THCA,TCGA-EL-A3ZN-01A-11R-A23N-07,TCGA-EL-A3ZN-01A,ESTIMATEScore,61.660824214864,Low,ESTIMATEScore
THCA,TCGA-EL-A3ZN-01A-11R-A23N-07,TCGA-EL-A3ZN-01A,TumorPurity,0.81732793269881,Low,TumorPurity
THCA,TCGA-FY-A2QD-01A-11R-A19O-07,TCGA-FY-A2QD-01A,StromalScore,-1183.35212605124,High,StromalScore
THCA,TCGA-FY-A2QD-01A-11R-A19O-07,TCGA-FY-A2QD-01A,ImmuneScore,-1077.09320724924,High,ImmuneScore
THCA,TCGA-FY-A2QD-01A-11R-A19O-07,TCGA-FY-A2QD-01A,ESTIMATEScore,-2260.44533330048,High,ESTIMATEScore
THCA,TCGA-FY-A2QD-01A-11R-A19O-07,TCGA-FY-A2QD-01A,TumorPurity,0.962917805852253,High,TumorPurity
THCA,TCGA-DJ-A2Q7-01A-11R-A18C-07,TCGA-DJ-A2Q7-01A,StromalScore,32.9372507791806,High,StromalScore
THCA,TCGA-DJ-A2Q7-01A-11R-A18C-07,TCGA-DJ-A2Q7-01A,ImmuneScore,545.557395288473,High,ImmuneScore
THCA,TCGA-DJ-A2Q7-01A-11R-A18C-07,TCGA-DJ-A2Q7-01A,ESTIMATEScore,578.494646067654,High,ESTIMATEScore
THCA,TCGA-DJ-A2Q7-01A-11R-A18C-07,TCGA-DJ-A2Q7-01A,TumorPurity,0.771307433867747,High,TumorPurity
THCA,TCGA-IM-A3U2-01A-21R-A22L-07,TCGA-IM-A3U2-01A,StromalScore,-115.807950872782,Low,StromalScore
THCA,TCGA-IM-A3U2-01A-21R-A22L-07,TCGA-IM-A3U2-01A,ImmuneScore,235.683839008051,Low,ImmuneScore
THCA,TCGA-IM-A3U2-01A-21R-A22L-07,TCGA-IM-A3U2-01A,ESTIMATEScore,119.875888135269,Low,ESTIMATEScore
THCA,TCGA-IM-A3U2-01A-21R-A22L-07,TCGA-IM-A3U2-01A,TumorPurity,0.812374584466336,Low,TumorPurity
THCA,TCGA-ET-A3BW-01A-11R-A19O-07,TCGA-ET-A3BW-01A,StromalScore,-620.078028170624,High,StromalScore
THCA,TCGA-ET-A3BW-01A-11R-A19O-07,TCGA-ET-A3BW-01A,ImmuneScore,-365.425426671105,High,ImmuneScore
THCA,TCGA-ET-A3BW-01A-11R-A19O-07,TCGA-ET-A3BW-01A,ESTIMATEScore,-985.503454841729,High,ESTIMATEScore
THCA,TCGA-ET-A3BW-01A-11R-A19O-07,TCGA-ET-A3BW-01A,TumorPurity,0.895907400103675,High,TumorPurity
THCA,TCGA-DJ-A2Q1-01A-22R-A19O-07,TCGA-DJ-A2Q1-01A,StromalScore,196.194694738825,Low,StromalScore
THCA,TCGA-DJ-A2Q1-01A-22R-A19O-07,TCGA-DJ-A2Q1-01A,ImmuneScore,1682.12453394411,Low,ImmuneScore
THCA,TCGA-DJ-A2Q1-01A-22R-A19O-07,TCGA-DJ-A2Q1-01A,ESTIMATEScore,1878.31922868294,Low,ESTIMATEScore
THCA,TCGA-DJ-A2Q1-01A-22R-A19O-07,TCGA-DJ-A2Q1-01A,TumorPurity,0.636609407180728,Low,TumorPurity
THCA,TCGA-EM-A1CT-01A-11R-A13Y-07,TCGA-EM-A1CT-01A,StromalScore,-361.763621923047,Low,StromalScore
THCA,TCGA-EM-A1CT-01A-11R-A13Y-07,TCGA-EM-A1CT-01A,ImmuneScore,762.845793907355,Low,ImmuneScore
THCA,TCGA-EM-A1CT-01A-11R-A13Y-07,TCGA-EM-A1CT-01A,ESTIMATEScore,401.082171984308,Low,ESTIMATEScore
THCA,TCGA-EM-A1CT-01A-11R-A13Y-07,TCGA-EM-A1CT-01A,TumorPurity,0.787618850969888,Low,TumorPurity
THCA,TCGA-ET-A3BS-01A-11R-A206-07,TCGA-ET-A3BS-01A,StromalScore,326.525770448095,Low,StromalScore
THCA,TCGA-ET-A3BS-01A-11R-A206-07,TCGA-ET-A3BS-01A,ImmuneScore,1907.31177584884,Low,ImmuneScore
THCA,TCGA-ET-A3BS-01A-11R-A206-07,TCGA-ET-A3BS-01A,ESTIMATEScore,2233.83754629693,Low,ESTIMATEScore
THCA,TCGA-ET-A3BS-01A-11R-A206-07,TCGA-ET-A3BS-01A,TumorPurity,0.595515898979581,Low,TumorPurity
THCA,TCGA-ET-A2MX-01A-11R-A23N-07,TCGA-ET-A2MX-01A,StromalScore,-1125.32331534292,Low,StromalScore
THCA,TCGA-ET-A2MX-01A-11R-A23N-07,TCGA-ET-A2MX-01A,ImmuneScore,-119.205685648023,Low,ImmuneScore
THCA,TCGA-ET-A2MX-01A-11R-A23N-07,TCGA-ET-A2MX-01A,ESTIMATEScore,-1244.52900099094,Low,ESTIMATEScore
THCA,TCGA-ET-A2MX-01A-11R-A23N-07,TCGA-ET-A2MX-01A,TumorPurity,0.912146717433086,Low,TumorPurity
THCA,TCGA-EL-A3ZQ-01A-11R-A23N-07,TCGA-EL-A3ZQ-01A,StromalScore,-112.768098927871,Low,StromalScore
THCA,TCGA-EL-A3ZQ-01A-11R-A23N-07,TCGA-EL-A3ZQ-01A,ImmuneScore,1144.67889560239,Low,ImmuneScore
THCA,TCGA-EL-A3ZQ-01A-11R-A23N-07,TCGA-EL-A3ZQ-01A,ESTIMATEScore,1031.91079667452,Low,ESTIMATEScore
THCA,TCGA-EL-A3ZQ-01A-11R-A23N-07,TCGA-EL-A3ZQ-01A,TumorPurity,0.727270426684323,Low,TumorPurity
THCA,TCGA-EM-A3O7-01A-11R-A220-07,TCGA-EM-A3O7-01A,StromalScore,-632.493151629788,High,StromalScore
THCA,TCGA-EM-A3O7-01A-11R-A220-07,TCGA-EM-A3O7-01A,ImmuneScore,-53.2959071958804,High,ImmuneScore
THCA,TCGA-EM-A3O7-01A-11R-A220-07,TCGA-EM-A3O7-01A,ESTIMATEScore,-685.789058825668,High,ESTIMATEScore
THCA,TCGA-EM-A3O7-01A-11R-A220-07,TCGA-EM-A3O7-01A,TumorPurity,0.875502621772652,High,TumorPurity
THCA,TCGA-BJ-A192-01A-31R-A13Y-07,TCGA-BJ-A192-01A,StromalScore,-575.441412919304,Low,StromalScore
THCA,TCGA-BJ-A192-01A-31R-A13Y-07,TCGA-BJ-A192-01A,ImmuneScore,-25.9914317240441,Low,ImmuneScore
THCA,TCGA-BJ-A192-01A-31R-A13Y-07,TCGA-BJ-A192-01A,ESTIMATEScore,-601.432844643348,Low,ESTIMATEScore
THCA,TCGA-BJ-A192-01A-31R-A13Y-07,TCGA-BJ-A192-01A,TumorPurity,0.869452260433902,Low,TumorPurity
THCA,TCGA-ET-A3BT-01A-11R-A19O-07,TCGA-ET-A3BT-01A,StromalScore,-260.343799768582,High,StromalScore
THCA,TCGA-ET-A3BT-01A-11R-A19O-07,TCGA-ET-A3BT-01A,ImmuneScore,280.215597377422,High,ImmuneScore
THCA,TCGA-ET-A3BT-01A-11R-A19O-07,TCGA-ET-A3BT-01A,ESTIMATEScore,19.8717976088405,High,ESTIMATEScore
THCA,TCGA-ET-A3BT-01A-11R-A19O-07,TCGA-ET-A3BT-01A,TumorPurity,0.820846860373954,High,TumorPurity
THCA,TCGA-DJ-A2PV-01A-11R-A19O-07,TCGA-DJ-A2PV-01A,StromalScore,582.552701639385,High,StromalScore
THCA,TCGA-DJ-A2PV-01A-11R-A19O-07,TCGA-DJ-A2PV-01A,ImmuneScore,483.307461471908,High,ImmuneScore
THCA,TCGA-DJ-A2PV-01A-11R-A19O-07,TCGA-DJ-A2PV-01A,ESTIMATEScore,1065.86016311129,High,ESTIMATEScore
THCA,TCGA-DJ-A2PV-01A-11R-A19O-07,TCGA-DJ-A2PV-01A,TumorPurity,0.723841067060742,High,TumorPurity
THCA,TCGA-E8-A417-01A-21R-A23N-07,TCGA-E8-A417-01A,StromalScore,-589.507487800837,Low,StromalScore
THCA,TCGA-E8-A417-01A-21R-A23N-07,TCGA-E8-A417-01A,ImmuneScore,1007.17397649876,Low,ImmuneScore
THCA,TCGA-E8-A417-01A-21R-A23N-07,TCGA-E8-A417-01A,ESTIMATEScore,417.666488697922,Low,ESTIMATEScore
THCA,TCGA-E8-A417-01A-21R-A23N-07,TCGA-E8-A417-01A,TumorPurity,0.786116541074116,Low,TumorPurity
THCA,TCGA-EL-A3GZ-01A-11R-A20F-07,TCGA-EL-A3GZ-01A,StromalScore,-41.3394822652101,High,StromalScore
THCA,TCGA-EL-A3GZ-01A-11R-A20F-07,TCGA-EL-A3GZ-01A,ImmuneScore,209.556020557623,High,ImmuneScore
THCA,TCGA-EL-A3GZ-01A-11R-A20F-07,TCGA-EL-A3GZ-01A,ESTIMATEScore,168.216538292413,High,ESTIMATEScore
THCA,TCGA-EL-A3GZ-01A-11R-A20F-07,TCGA-EL-A3GZ-01A,TumorPurity,0.808216324032112,High,TumorPurity
THCA,TCGA-DJ-A1QH-01A-21R-A14Y-07,TCGA-DJ-A1QH-01A,StromalScore,92.342923422515,High,StromalScore
THCA,TCGA-DJ-A1QH-01A-21R-A14Y-07,TCGA-DJ-A1QH-01A,ImmuneScore,284.276717920475,High,ImmuneScore
