Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,FDR_star,Feature_Display,Feature_Order,.center,.scale,Low_Z,High_Z,Diff_Z,Diff_Z_plot
THCA,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,287,284,18.6720633333333,28.1229333333333,9.45087,6.21416645742292e-17,8.69983304039209e-16,****,P=6.21e-17,FDR=8.70e-16,Endothelial_cells_MCPcounter__MCP-counter,****,Endothelial cells,4,12.3950152777778,10.2497295613193,0.61241109026369,1.53447151570808,0.922060425444389,0.922060425444389
LUAD,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,298,299,15.887945,15.9202133333333,0.0322683333333327,0.698047541969532,0.832404422457592,ns,P=0.698,FDR=0.832,Endothelial_cells_MCPcounter__MCP-counter,"",Endothelial cells,4,12.3950152777778,10.2497295613193,0.340782622734158,0.343930835878735,0.00314821314457642,0.00314821314457642
LUSC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,276,275,10.2960666666667,10.00332,-0.292746666666666,0.50641740160511,0.644531238406503,ns,P=0.506,FDR=0.645,Endothelial_cells_MCPcounter__MCP-counter,"",Endothelial cells,4,12.3950152777778,10.2497295613193,-0.204780877246961,-0.233342281225021,-0.0285614039780596,-0.0285614039780596
KIRP,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,CAF,145,145,0.0514573467292951,0.0673454297385455,0.0158880830092504,6.37678930301024e-11,2.97583500807145e-10,****,P=6.38e-11,FDR=2.98e-10,CAF__TIDEpy,****,CAF,2,0.0487890973774074,0.0380241680922562,0.0701724583536933,0.488014157630372,0.417841699276678,0.417841699276678
LGG,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LGG/LGG_TIDE_score_long.csv,CAF,257,257,0.0903803783671724,0.0959728090701079,0.0055924307029355,9.35790534063612e-06,1.87158106812722e-05,****,P=9.36e-06,FDR=1.87e-05,CAF__TIDEpy,****,CAF,2,0.0487890973774074,0.0380241680922562,1.09381172755322,1.24088741608287,0.147075688529644,0.147075688529644
LIHC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LIHC/LIHC_TIDE_score_long.csv,CAF,185,186,0.0215494806674075,0.0269354882393089,0.0053860075719014,6.70842579809247e-06,4.2797951628846e-05,****,P=6.71e-06,FDR=4.28e-05,CAF__TIDEpy,****,CAF,2,0.0487890973774074,0.0380241680922562,-0.716376401553604,-0.574729447994132,0.141646953559473,0.141646953559473
MESO,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/MESO/MESO_TIDE_score_long.csv,CAF,43,44,0.0671627741483078,0.137043696939364,0.0698809227910562,3.9251286953668e-07,2.87288530326384e-06,****,P=3.93e-07,FDR=2.87e-06,CAF__TIDEpy,****,CAF,2,0.0487890973774074,0.0380241680922562,0.483210486717848,2.32101329206805,1.8378028053502,1.8378028053502
KIRC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,CAF,266,266,0.0806051513517557,0.101346152186789,0.0207410008350333,3.80484570065291e-14,2.66339199045703e-13,****,P=3.80e-14,FDR=2.66e-13,CAF__TIDEpy,****,CAF,2,0.0487890973774074,0.0380241680922562,0.836732414425333,1.38220130633404,0.545468891908704,0.545468891908704
THCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,CAF,252,252,0.0609118629812948,0.077551652798388,0.0166397898170932,5.26211581656571e-11,3.683481071596e-10,****,P=5.26e-11,FDR=3.68e-10,CAF__TIDEpy,****,CAF,2,0.0487890973774074,0.0380241680922562,0.318817378843753,0.756428262971996,0.437610884128243,0.437610884128243
LUAD,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,CAF,258,258,0.0205673982830664,0.0384525320965926,0.0178851338135262,9.07997773520535e-21,6.35598441464375e-20,****,P=9.08e-21,FDR=6.36e-20,CAF__TIDEpy,****,CAF,2,0.0487890973774074,0.0380241680922562,-0.742204248252533,-0.271841983649338,0.470362264603195,0.470362264603195
LUSC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUSC/LUSC_TIDE_score_long.csv,CAF,250,251,0.0299093616986892,0.0374324164064526,0.00752305470776345,7.76053015077169e-05,0.000155210603015434,****,P=7.76e-05,FDR=1.55e-04,CAF__TIDEpy,***,CAF,2,0.0487890973774074,0.0380241680922562,-0.496519361920324,-0.298670070661392,0.197849291258932,0.197849291258932
KIRP,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,EXCLUSION,145,145,0.342998763612772,0.476873028489421,0.133874264876649,1.00331018387309e-09,3.51158564355581e-09,****,P=1.00e-09,FDR=3.51e-09,Exclusion__TIDEpy,****,Exclusion score,1,0.537119407403492,0.308594240987186,-0.629048173970234,-0.195228461559567,0.433819712410667,0.433819712410667
LGG,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LGG/LGG_TIDE_score_long.csv,EXCLUSION,257,257,0.85169131392428,0.922368130367151,0.0706768164428711,1.19673527156014e-08,4.18857345046049e-08,****,P=1.20e-08,FDR=4.19e-08,Exclusion__TIDEpy,****,Exclusion score,1,0.537119407403492,0.308594240987186,1.01937063217538,1.24839893878531,0.229028306609928,0.229028306609928
LIHC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LIHC/LIHC_TIDE_score_long.csv,EXCLUSION,185,186,0.0661488263133406,0.115115567337179,0.0489667410238379,3.84290171801445e-14,5.38006240522024e-13,****,P=3.84e-14,FDR=5.38e-13,Exclusion__TIDEpy,****,Exclusion score,1,0.537119407403492,0.308594240987186,-1.52618072062371,-1.36750393888211,0.1586767817416,0.1586767817416
MESO,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/MESO/MESO_TIDE_score_long.csv,EXCLUSION,43,44,0.488779570774131,1.11676068131154,0.627981110537404,4.10412186180549e-07,2.87288530326384e-06,****,P=4.10e-07,FDR=2.87e-06,Exclusion__TIDEpy,****,Exclusion score,1,0.537119407403492,0.308594240987186,-0.156645297315733,1.87832822820604,2.03497352552178,2.03497352552178
KIRC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,EXCLUSION,266,266,0.587571420644893,0.7427124767835,0.155141056138607,2.37246293342799e-09,1.10714936893306e-08,****,P=2.37e-09,FDR=1.11e-08,Exclusion__TIDEpy,****,Exclusion score,1,0.537119407403492,0.308594240987186,0.163489808105319,0.666224582553198,0.502734774447879,0.502734774447879
THCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,EXCLUSION,252,252,0.586471702378295,0.694367239644139,0.107895537265844,3.98198495649582e-09,1.85825964636472e-08,****,P=3.98e-09,FDR=1.86e-08,Exclusion__TIDEpy,****,Exclusion score,1,0.537119407403492,0.308594240987186,0.159926169772082,0.509561784878472,0.349635615106389,0.349635615106389
LUAD,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,EXCLUSION,258,258,0.26535025428362,0.563168015865765,0.297817761582145,4.8695603862489e-22,6.81738454074845e-21,****,P=4.87e-22,FDR=6.82e-21,Exclusion__TIDEpy,****,Exclusion score,1,0.537119407403492,0.308594240987186,-0.88066825955821,0.0844105462854545,0.965078805843664,0.965078805843664
LUSC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUSC/LUSC_TIDE_score_long.csv,EXCLUSION,250,251,0.435197249514187,0.754559601987936,0.31936235247375,2.24291253959465e-15,3.14007755543251e-14,****,P=2.24e-15,FDR=3.14e-14,Exclusion__TIDEpy,****,Exclusion score,1,0.537119407403492,0.308594240987186,-0.330278872228004,0.704615205678689,1.03489407790669,1.03489407790669
