Cancer,Feature,Display,Method,Feature_Label,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,NegLogFDR,SignedNegLogFDR,SignedNegLogFDR_cap,Direction
GBM,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,80,81,-0.0677177263508925,-0.161664987707184,-0.0939472613562915,2.15331182834569e-06,5.38327957086424e-06,****,5.26895306530212,-5.26895306530212,-5.26895306530212,Low
GBM,Tregs_quantiseq,Tregs,quanTIseq,Tregs,85,84,0,0,0,0.0104720019521347,0.0174533365868912,*,1.75812153588208,0,0,NS
GBM,TAM M2,TAM M2,TIDEpy,TAM M2,80,81,-0.00280325862736689,0.00310647006763842,0.00590972869500531,0.0157038322767369,0.0196297903459211,*,1.70708433881547,1.70708433881547,1.70708433881547,High
GBM,Tregs_xCell,Tregs,xCell,Tregs (xCell),85,84,1.56385867067478e-23,0,-1.56385867067478e-23,0.0306011898553258,0.0306011898553258,*,1.51426168667019,-1.51426168667019,-1.51426168667019,Low
HNSC,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,251,251,-0.0184416051052189,-0.0642809656783163,-0.0458393605730974,4.8120309166312e-24,2.4060154583156e-23,****,22.6187015867054,-22.6187015867054,-6,Low
HNSC,MDSC,MDSC,TIDEpy,MDSC,251,251,0.0153993790802007,0.0275779732017864,0.0121785941215857,5.80522419937181e-22,1.45130604984295e-21,****,20.8382409943559,20.8382409943559,6,High
HNSC,TAM M2,TAM M2,TIDEpy,TAM M2,251,251,-0.0196031601769294,-0.0141770655805936,0.0054260945963358,0.000859712401585639,0.00143285400264273,**,2.84379805878397,2.84379805878397,2.84379805878397,High
HNSC,Tregs_quantiseq,Tregs,quanTIseq,Tregs,275,272,0.0200367987537625,0.0253465547526235,0.00530975599886106,0.00496214892670871,0.00620268615838589,**,2.20742019257828,2.20742019257828,2.20742019257828,High
HNSC,Tregs_xCell,Tregs,xCell,Tregs (xCell),275,272,0,0,0,0.35654582928808,0.35654582928808,"",0.447884639366935,0,0,NS
KICH,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,32,33,-0.11127762368719,-0.216413617781258,-0.105135994094068,0.00010556485311849,0.000527824265592449,***,3.27751064789646,-3.27751064789646,-3.27751064789646,Low
KICH,Tregs_quantiseq,Tregs,quanTIseq,Tregs,42,47,0.00113162300212572,0.00347011101914698,0.00233848801702126,0.205893116221719,0.462509185370368,"",0.334879637809159,0.334879637809159,0.334879637809159,NS
KICH,Tregs_xCell,Tregs,xCell,Tregs (xCell),42,47,1.85823370667491e-23,3.92683193297749e-24,-1.46555051337716e-23,0.277505511222221,0.462509185370368,"",0.334879637809159,-0.334879637809159,-0.334879637809159,NS
KICH,TAM M2,TAM M2,TIDEpy,TAM M2,32,33,-0.0139865216106369,-0.0139887447814309,-2.22317079399958e-06,0.466461398977925,0.583076748722406,"",0.234274276539666,-0.234274276539666,-0.234274276539666,NS
KICH,MDSC,MDSC,TIDEpy,MDSC,32,33,0.00530053964998253,0.0037775476791545,-0.00152299197082803,0.747847327586818,0.747847327586818,"",0.126187053945909,-0.126187053945909,-0.126187053945909,NS
KIRC,Tregs_quantiseq,Tregs,quanTIseq,Tregs,306,307,0.013323914599485,0.0188361990340208,0.00551228443453579,1.37467570202755e-06,6.87337851013775e-06,****,5.162829739266,5.162829739266,5.162829739266,High
KIRC,TAM M2,TAM M2,TIDEpy,TAM M2,266,266,-0.0117563586080741,-0.0137861068442685,-0.00202974823619445,0.00159760509905484,0.00399401274763711,**,2.39859055333121,-2.39859055333121,-2.39859055333121,Low
KIRC,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,266,266,-0.0740723091809764,-0.0884291563127808,-0.0143568471318044,0.0032909196754803,0.0054848661258005,**,2.26083396818693,-2.26083396818693,-2.26083396818693,Low
KIRC,MDSC,MDSC,TIDEpy,MDSC,266,266,0.0145808830187733,0.0185793347061559,0.0039984516873826,0.0054153954337945,0.00676924429224313,**,2.16945981255975,2.16945981255975,2.16945981255975,High
KIRC,Tregs_xCell,Tregs,xCell,Tregs (xCell),306,307,9.19668155364275e-24,0,-9.19668155364275e-24,0.0707649874530264,0.0707649874530264,"",1.15018156599696,-1.15018156599696,-1.15018156599696,NS
KIRP,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,145,145,-0.0991377058195636,-0.172762181615818,-0.0736244757962544,1.59373345651619e-11,7.96866728258093e-11,****,10.0986143059838,-10.0986143059838,-6,Low
KIRP,MDSC,MDSC,TIDEpy,MDSC,145,145,-0.000398714094730744,0.00947128510918472,0.00986999920391546,5.25471219164557e-06,1.31367804791139e-05,****,4.88151105726307,4.88151105726307,4.88151105726307,High
KIRP,TAM M2,TAM M2,TIDEpy,TAM M2,145,145,-0.00629605418060469,-0.00912887772356658,-0.00283282354296189,3.76241601828009e-05,6.27069336380015e-05,****,4.20268443565672,-4.20268443565672,-4.20268443565672,Low
KIRP,Tregs_quantiseq,Tregs,quanTIseq,Tregs,159,164,0.00277135476729817,0.00480788638565752,0.00203653161835935,0.000100279722856376,0.00012534965357047,***,3.90187686196617,3.90187686196617,3.90187686196617,High
KIRP,Tregs_xCell,Tregs,xCell,Tregs (xCell),159,164,1.53003548503057e-24,1.34989125188805e-23,1.19688770338499e-23,0.882962529547972,0.882962529547972,"",0.0540577262704948,0.0540577262704948,0.0540577262704948,NS
LAML,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,75,75,0.0373770492521302,-0.0590430308696361,-0.0964200801217663,4.3231163522027e-05,0.000216155817610135,***,3.6652330713865,-3.6652330713865,-3.6652330713865,Low
LAML,Tregs_quantiseq,Tregs,quanTIseq,Tregs,75,75,0.0246643923033994,0.0323981602366173,0.00773376793321796,0.00120756256441114,0.00301890641102785,**,2.52015035031052,2.52015035031052,2.52015035031052,High
LAML,TAM M2,TAM M2,TIDEpy,TAM M2,75,75,-0.0084060389065575,-0.000238658300304687,0.00816738060625281,0.0373118583822691,0.0621864306371152,"",1.20630437000898,1.20630437000898,1.20630437000898,NS
LAML,MDSC,MDSC,TIDEpy,MDSC,75,75,-0.016335608948382,-0.013706257901594,0.002629351046788,0.10522975958875,0.131537199485938,"",0.88095140879538,0.88095140879538,0.88095140879538,NS
LAML,Tregs_xCell,Tregs,xCell,Tregs (xCell),75,75,1.69332419353542e-23,2.96316994819958e-24,-1.39700719871546e-23,0.342377241933243,0.342377241933243,"",0.465495110908706,-0.465495110908706,-0.465495110908706,NS
LGG,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,257,257,-0.0422735382393998,-0.12383212840004,-0.0815585901606402,4.82245074180766e-18,2.41122537090383e-17,****,16.6177621953606,-16.6177621953606,-6,Low
LGG,Tregs_quantiseq,Tregs,quanTIseq,Tregs,261,271,0,0,0,1.93115157519469e-12,4.82787893798671e-12,****,11.3162436286376,0,0,NS
LGG,MDSC,MDSC,TIDEpy,MDSC,257,257,0.0228941862190556,0.0277289837700595,0.0048347975510039,4.36798357307932e-06,7.27997262179887e-06,****,5.1378702539595,5.1378702539595,5.1378702539595,High
LGG,TAM M2,TAM M2,TIDEpy,TAM M2,257,257,0.0060136317039446,0.00491726840671922,-0.00109636329722538,0.128826913185792,0.161033641482241,"",0.793083386180097,-0.793083386180097,-0.793083386180097,NS
LGG,Tregs_xCell,Tregs,xCell,Tregs (xCell),261,271,4.19603868930065e-24,0,-4.19603868930065e-24,0.976220355834461,0.976220355834461,"",0.0104521408155236,-0.0104521408155236,-0.0104521408155236,NS
LIHC,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,185,186,-0.020317714600124,-0.0460458131789877,-0.0257280985788637,6.78228205249001e-13,3.391141026245e-12,****,11.4696541489873,-11.4696541489873,-6,Low
LIHC,Tregs_quantiseq,Tregs,quanTIseq,Tregs,212,212,0,0.00363094371849142,0.00363094371849142,1.336097947499e-08,3.34024486874749e-08,****,7.47622169449151,7.47622169449151,6,High
LIHC,MDSC,MDSC,TIDEpy,MDSC,185,186,-0.00741544669131189,-0.00453609149633593,0.00287935519497596,7.02231382548513e-08,1.17038563758086e-07,****,6.93167101630658,6.93167101630658,6,High
LIHC,TAM M2,TAM M2,TIDEpy,TAM M2,185,186,-0.00619667249179198,-0.00631487768640049,-0.000118205194608505,0.871928275220663,0.892277188203754,"",0.0495002099657815,-0.0495002099657815,-0.0495002099657815,NS
LIHC,Tregs_xCell,Tregs,xCell,Tregs (xCell),212,212,0,1.16916879236762e-23,1.16916879236762e-23,0.892277188203754,0.892277188203754,"",0.0495002099657815,0.0495002099657815,0.0495002099657815,NS
LUAD,MDSC,MDSC,TIDEpy,MDSC,258,258,0.00127218035947591,0.0130782757724466,0.0118060954129707,1.6392331954065e-22,8.19616597703251e-22,****,21.086389255471,21.086389255471,6,High
LUAD,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,258,258,-0.0798056924969114,-0.203762030609039,-0.123956338112127,1.27943548306579e-17,3.19858870766447e-17,****,16.4950416003271,-16.4950416003271,-6,Low
LUAD,TAM M2,TAM M2,TIDEpy,TAM M2,258,258,-0.00513745632271483,-0.00775092640165545,-0.00261347007894062,0.00027748361876289,0.00046247269793815,***,3.3349139007299,-3.3349139007299,-3.3349139007299,Low
