Canonical,Feature,Display,Method,Source,Feature_Label,Feature_Main_Label,N_FDR_sig_cancers,Median_abs_standardized_effect,Mean_abs_standardized_effect,Representative_for_canonical,Selected_for_main
MONOCYTES,Monocytes_quantiseq,Monocytes,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),"Monocytes
(quanTIseq)",Monocytes,5,0,0.244163053420589,TRUE,FALSE
CD4TCM,CD4+_Tcm_xCell,CD4+ Tcm,xCell,IOBR::deconvo_tme(method='xcell'),"CD4+ Tcm
(xCell)",CD4+ Tcm,4,0.46890289042158,0.513195735241821,TRUE,FALSE
MASTCELLS,Mast_cells_xCell,Mast Cells,xCell,IOBR::deconvo_tme(method='xcell'),"Mast Cells
(xCell)",Mast Cells,4,0.37289803762432,0.565359311479579,TRUE,FALSE
CD8TEM,CD8+_Tem_xCell,CD8+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),"CD8+ Tem
(xCell)",CD8+ Tem,3,0.392137306653361,0.699468166744684,TRUE,FALSE
CD8NAIVETCELLS,CD8+_naive_T-cells_xCell,CD8+ Naive t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),"CD8+ Naive t-Cells
(xCell)",CD8+ Naive t-Cells,2,0.264421956760079,0.585353887881984,TRUE,FALSE
CDC,cDC_xCell,Cdc,xCell,IOBR::deconvo_tme(method='xcell'),"Cdc
(xCell)",Cdc,2,0.247392328227388,0.698377457338825,TRUE,FALSE
MVENDOTHELIALCELLS,mv_Endothelial_cells_xCell,Mv Endothelial Cells,xCell,IOBR::deconvo_tme(method='xcell'),"Mv Endothelial Cells
(xCell)",Mv Endothelial Cells,1,0.638520848911562,0.907369137896443,TRUE,FALSE
EOSINOPHILS,Eosinophils_xCell,Eosinophils,xCell,IOBR::deconvo_tme(method='xcell'),"Eosinophils
(xCell)",Eosinophils,1,0.582120160794634,0.951200458816599,TRUE,FALSE
ADC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),"Adc
(xCell)",Adc,1,0,0.667852911331816,TRUE,FALSE
CD4MEMORYTCELLS,CD4+_memory_T-cells_xCell,CD4+ Memory t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),"CD4+ Memory t-Cells
(xCell)",CD4+ Memory t-Cells,0,0.606041021581804,1.04126030729214,TRUE,FALSE
LYENDOTHELIALCELLS,ly_Endothelial_cells_xCell,Ly Endothelial Cells,xCell,IOBR::deconvo_tme(method='xcell'),"Ly Endothelial Cells
(xCell)",Ly Endothelial Cells,0,0.451956434520981,0.911193530674158,TRUE,FALSE
DC,DC_xCell,Dc,xCell,IOBR::deconvo_tme(method='xcell'),"Dc
(xCell)",Dc,0,0.36124988707509,0.60208619946845,TRUE,FALSE
CD8TCM,CD8+_Tcm_xCell,CD8+ Tcm,xCell,IOBR::deconvo_tme(method='xcell'),"CD8+ Tcm
(xCell)",CD8+ Tcm,0,0.231768268022202,0.606297629489991,TRUE,FALSE
PDC,pDC_xCell,Pdc,xCell,IOBR::deconvo_tme(method='xcell'),"Pdc
(xCell)",Pdc,0,0.109530476077061,0.646165748329177,TRUE,FALSE
IDC,iDC_xCell,Idc,xCell,IOBR::deconvo_tme(method='xcell'),"Idc
(xCell)",Idc,0,0.0810326773571992,0.511749277232447,TRUE,FALSE
CD4NAIVETCELLS,CD4+_naive_T-cells_xCell,CD4+ Naive t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),"CD4+ Naive t-Cells
(xCell)",CD4+ Naive t-Cells,0,0.0805367954509114,0.699939400938079,TRUE,FALSE
NKCELLS,NK_cells_MCPcounter,NK Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),"NK Cells
(MCP-counter)",NK Cells,14,0.195222432539023,0.292733035168406,FALSE,FALSE
NKCELLS,NKcells_EPIC,NKcells,EPIC,IOBR::deconvo_tme(method='epic'),"NKcells
(EPIC)",NKcells,14,0.00112122250879659,0.356687996387911,FALSE,FALSE
NEUTROPHILS,Neutrophils_quantiseq,Neutrophils,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),"Neutrophils
(quanTIseq)",Neutrophils,12,0.10538034044226,0.267065568836027,FALSE,FALSE
CD8TCELLS,CD8_T_cells_MCPcounter,CD8 t Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),"CD8 t Cells
(MCP-counter)",CD8 t Cells,8,0.00306143994824484,0.161847405144711,FALSE,FALSE
FIBROBLASTS,Fibroblasts_xCell,Fibroblasts,xCell,IOBR::deconvo_tme(method='xcell'),"Fibroblasts
(xCell)",Fibroblasts,2,0.851497356902307,1.01214306610049,FALSE,FALSE
CD4TCELLS,CD4+_T-cells_xCell,CD4+ t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),"CD4+ t-Cells
(xCell)",CD4+ t-Cells,2,0.410318495180567,0.71769789150618,FALSE,FALSE
MACROPHAGES,Macrophages_xCell,Macrophages,xCell,IOBR::deconvo_tme(method='xcell'),"Macrophages
(xCell)",Macrophages,2,0.0651942682708049,0.624076983404582,FALSE,FALSE
ENDOTHELIALCELLS,Endothelial_cells_xCell,Endothelial Cells,xCell,IOBR::deconvo_tme(method='xcell'),"Endothelial Cells
(xCell)",Endothelial Cells,1,0.0641867494817562,0.660210859034515,FALSE,FALSE
NEUTROPHILS,Neutrophils_xCell,Neutrophils,xCell,IOBR::deconvo_tme(method='xcell'),"Neutrophils
(xCell)",Neutrophils,0,0.48973397521176,0.846316157887282,FALSE,FALSE
CD8TCELLS,CD8+_T-cells_xCell,CD8+ t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),"CD8+ t-Cells
(xCell)",CD8+ t-Cells,0,0.418001142556478,0.701467663650282,FALSE,FALSE
MONOCYTES,Monocytes_xCell,Monocytes,xCell,IOBR::deconvo_tme(method='xcell'),"Monocytes
(xCell)",Monocytes,0,0.278306276374827,0.74111662027936,FALSE,FALSE
NKCELLS,NK_cells_xCell,NK Cells,xCell,IOBR::deconvo_tme(method='xcell'),"NK Cells
(xCell)",NK Cells,0,0.258478589573299,0.832431354115397,FALSE,FALSE
MACROPHAGESM2,Macrophages_M2_xCell,Macrophages M2,xCell,IOBR::deconvo_tme(method='xcell'),"Macrophages M2
(xCell)",Macrophages M2,0,0.204697108873447,0.778012407388728,FALSE,FALSE
