Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
SARC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SARC/SARC_TIDE_score_long.csv,CAF,129,130,0.151548603727581,0.181848208757441,0.03029960502986,0.00596433477076517,0.0208751716976781,**,P=0.00596,FDR=0.0209,CAF,0.0394390710931143,0.0312357940078499,3.58913663620308,4.55916496403254,0.970028327829457,*
SARC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,130,135,0.485780904018088,0.453984547356622,-0.0317963566614651,0.0011909260398499,0.00555765485263287,**,P=0.00119,FDR=0.00556,EMT,0.266999790790937,0.124680700020625,1.75473119088166,1.49970890871445,-0.255022282167217,**
SARC,Endothelial_cells_xCell,Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,130,135,8.68980676191749e-24,0,-8.68980676191749e-24,0.091978166022783,0.16096179053987,ns,P=0.092,FDR=0.161,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,-0.423355311855836,-0.674490759476595,-0.251135447620759,""
SARC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SARC/SARC_TIDE_score_long.csv,EXCLUSION,129,130,1.24570351961448,1.49648331633387,0.25077979671939,3.22588284126731e-06,2.25811798888711e-05,****,P=3.23e-06,FDR=2.26e-05,Exclusion score,0.518559332003667,0.260469451282052,2.79166782911297,3.7544670959177,0.962799266804729,****
SARC,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,130,135,0,2.79833829458906e-22,2.79833829458906e-22,0.031114994682838,0.0726016542599554,*,P=0.0311,FDR=0.0726,Fibroblasts,1.197275,1.775079915,-0.674490759476595,-0.674490759476595,0,""
SARC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,130,135,0.0816090555409092,0.117606690053356,0.0359976345124471,7.11622100143224e-07,9.96270940200513e-06,****,P=7.12e-07,FDR=9.96e-06,TGF-beta signaling,0.409022218252099,0.142799140816971,-2.29282305788411,-2.04073726586533,0.252085792018776,****
SKCM,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SKCM/SKCM_TIDE_score_long.csv,CAF,234,235,0.0521212655491388,0.0776541762263198,0.025532910677181,3.89211595026992e-12,2.72448116518895e-11,****,P=3.89e-12,FDR=2.72e-11,CAF,0.0394390710931143,0.0312357940078499,0.406014793567834,1.22343952977798,0.817424736210142,****
SKCM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,236,237,0.266058265032305,0.227995757059971,-0.0380625079723335,0.309519878257555,0.48147536617842,ns,P=0.31,FDR=0.481,EMT,0.266999790790937,0.124680700020625,-0.00755149560819147,-0.312831366238029,-0.305279870629837,""
SKCM,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,236,237,6.98993,8.80158666666667,1.81165666666667,2.6634432000948e-05,9.32205120033179e-05,****,P=2.66e-05,FDR=9.32e-05,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.02009002902203e+23,2.54365887282227e+23,5.23568843800241e+22,****
SKCM,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SKCM/SKCM_TIDE_score_long.csv,EXCLUSION,234,235,0.514227447017584,0.812739878890198,0.298512431872614,1.62007671178312e-19,2.26810739649637e-18,****,P=1.62e-19,FDR=2.27e-18,Exclusion score,0.518559332003667,0.260469451282052,-0.0166310673469023,1.12942437371657,1.14605544106348,****
SKCM,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,236,237,153.625175,180.226675,26.6015,0.0855630023015909,0.171126004603182,ns,P=0.0856,FDR=0.171,Fibroblasts,1.197275,1.775079915,85.8710071089955,100.857092960798,14.9860858518023,""
SKCM,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,236,237,0.275451889087113,0.316520959217562,0.0410690701304494,1.93356473711326e-07,9.02330210652855e-07,****,P=1.93e-07,FDR=9.02e-07,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.935372078577047,-0.647771817850771,0.287600260726276,****
STAD,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/STAD/STAD_TIDE_score_long.csv,CAF,187,188,0.0297413627611342,0.0309799823171121,0.00123861955597785,0.66014544613993,0.770169687163251,ns,P=0.66,FDR=0.77,CAF,0.0394390710931143,0.0312357940078499,-0.31046780272475,-0.270813950619481,0.0396538521052681,""
