Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,Direction,Feature_Label,Feature_Main_Label,Feature_rank,Feature_strength
KIRP,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,1.33184630572247,0.588619974605507,0.0107228066548388,0.0368652681077366,-0.743226331116965,-0.743226331116965,*,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
KIRP,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,0.24223407154881,-0.525138411262256,0.0517042804679762,0.132346568376516,-0.767372482811066,-0.767372482811066,"",Higher in Low,"Basophils
(xCell)",Basophils,18,0.770950567705175
KIRP,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,0.30087823173698,0.404061673836396,0.0534476526135929,0.132346568376516,0.103183442099416,0.103183442099416,"",Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,15,0.274341342294552
LUAD,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,2.82603154409549,0.219203341996496,1.78151121876132e-10,9.26385833755887e-09,-2.60682820209899,-2.5,****,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,17,0.992393287098344
LUAD,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.584462508497898,-0.45222541444008,3.76148397354646e-06,6.5199055541472e-05,0.132237094057818,0.132237094057818,****,Higher in High,"NK Cells
(quanTIseq)",NK Cells,20,0.228435581079708
LUAD,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,0.883823502724732,0.112872935019557,7.88356904595762e-05,0.00102486397597449,-0.770950567705175,-0.770950567705175,**,Higher in Low,"Basophils
(xCell)",Basophils,18,0.770950567705175
LUAD,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,0.981470121422978,1.53370071629674,0.000226368089212312,0.00168159151986289,0.552230594873759,0.552230594873759,**,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,26,0.430056075000469
LUAD,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,0.169735811171294,-0.84971374456749,0.00133414698640922,0.00813420601165941,-1.01944955573878,-1.01944955573878,**,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
LUAD,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.535608701194916,-0.535608701194916,0.0432393797589165,0.132261632203745,0,0,"",Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,15,0.101275921222628
LUAD,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,0.453160126177666,0.442771395060352,0.094779290920846,0.259395954099158,-0.0103887311173144,-0.0103887311173144,"",Higher in Low,"CD4 T cells
(EPIC)",CD4 T cells,15,0.274341342294552
LUAD,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,0.340782622734158,0.343930835878735,0.698047541969532,0.86956694448744,0.00314821314457642,0.00314821314457642,"",Higher in High,"Endothelial Cells
(MCP-counter)",Endothelial Cells,17,0.20020690832769
