Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
COAD,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,264,257,0.014227629540796,0.0196769935455479,0.00544936400475183,1.50380151360216e-05,2.50633585600361e-05,****,P=1.50e-05,FDR=2.51e-05,Tregs,1.97988101305249e-23,2.93537158995162e-23,4.84696029269347e+20,6.70340804990628e+20,1.85644775721281e+20,****
DLBC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,MDSC,24,24,0.00729574506917232,0.0024576521627357,-0.00483809290643662,0.439382151717562,0.549227689646953,ns,P=0.439,FDR=0.549,MDSC,0.0245951802567663,0.0169871580848144,-1.01838312807948,-1.30319197499082,-0.284808846911339,""
DLBC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,DYSFUNCTION,24,24,0.0365730128865952,0.037900930402179,0.0013279175155838,0.718216129533986,0.718216129533986,ns,P=0.718,FDR=0.718,T-cell dysfunction,-0.121938022256179,0.112465199954439,1.40942296112032,1.42123032478589,0.0118073636655762,""
DLBC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,TAMM2,24,24,0.0103235592924978,0.00192226548423379,-0.00840129380826402,0.235768442708791,0.549227689646953,ns,P=0.236,FDR=0.549,TAM M2,-0.00262703812671226,0.00966502050581696,1.33994515701396,0.470697771226457,-0.869247385787504,""
DLBC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,24,24,0,0.0301528388658289,0.0301528388658289,0.0791790660668634,0.395895330334317,ns,P=0.0792,FDR=0.396,Tregs,1.97988101305249e-23,2.93537158995162e-23,-0.674490759476595,1.02722391158408e+21,1.02722391158408e+21,""
ESCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,MDSC,81,81,0.0181101918524983,0.0376610241141104,0.0195508322616121,8.67199691292214e-11,2.16799922823053e-10,****,P=8.67e-11,FDR=2.17e-10,MDSC,0.0245951802567663,0.0169871580848144,-0.381758288931521,0.769160079167348,1.15091836809887,****
ESCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,DYSFUNCTION,81,81,-0.0512015136374898,-0.130441264411679,-0.0792397507741892,1.66213440632117e-11,8.31067203160586e-11,****,P=1.66e-11,FDR=8.31e-11,T-cell dysfunction,-0.121938022256179,0.112465199954439,0.628963525137953,-0.0756077627474567,-0.70457128788541,****
ESCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,TAMM2,81,81,-0.0179907606127625,-0.0099197854799562,0.0080709751328063,1.19708940236999e-05,1.99514900394999e-05,****,P=1.20e-05,FDR=2.00e-05,TAM M2,-0.00262703812671226,0.00966502050581696,-1.58962130259356,-0.754550634305924,0.835070668287639,****
ESCA,Tregs_xCell,Tregs,Immune suppression,xCell,IOBR::deconvo_tme(method='xcell'),TREGS,87,84,1.90232430378e-23,6.28526164968099e-24,-1.2737981388119e-23,0.354767622050711,0.443459527563388,ns,P=0.355,FDR=0.443,Tregs,1.97988101305249e-23,2.93537158995162e-23,-0.0264214280529193,-0.460369260474672,-0.433947832421753,""
GBM,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,MDSC,80,81,0.0073516648610786,0.0289287868409986,0.02157712197992,2.90283558178787e-10,1.45141779089394e-09,****,P=2.90e-10,FDR=1.45e-09,MDSC,0.0245951802567663,0.0169871580848144,-1.01509124184242,0.255110746753238,1.27020198859565,****
