Model,Training,Testing,GSE72094,GSE68465,Average,ExternalMean,Train_Test_Gap,Complexity,FeatureN,IsSelected
RSF + StepCox[backward],0.632167421846986,0.668536699392239,0.615295480880649,0.613219371498467,0.632304743404585,0.614257426189558,0.036369277545253,2,3,FALSE
RSF + StepCox[forward],0.632167421846986,0.668536699392239,0.615295480880649,0.613219371498467,0.632304743404585,0.614257426189558,0.036369277545253,2,3,FALSE
StepCox[backward] + CoxBoost,0.70635981354109,0.663861617578308,0.617546763780831,0.535419277872578,0.630796868193202,0.576483020826705,0.042498195962782,2,24,FALSE
StepCox[backward] + SuperPC,0.608403690060958,0.680224403927069,0.615659658996855,0.614986182630888,0.629818483903943,0.615322920813871,0.071820713866111,2,30,FALSE
plsRcox,0.713009746715781,0.668536699392239,0.613474590299619,0.519986107126138,0.628751785883444,0.566730348712879,0.044473047323542,1,118,FALSE
survival-SVM,0.608468885484239,0.674146797568958,0.609567952325774,0.617130517509551,0.627328538222131,0.613349234917663,0.065677912084719,1,118,FALSE
StepCox[both] + survival-SVM,0.60700198846041,0.671809256661992,0.611388842906804,0.614548255085245,0.626187085778613,0.612968548996024,0.064807268201582,2,22,FALSE
StepCox[backward] + Lasso,0.745900837761189,0.633941093969145,0.600761463333885,0.518415608341765,0.624754750851496,0.559588535837825,0.111959743792044,2,30,FALSE
StepCox[backward] + Enet[α=0.3],0.745737849202986,0.63627863487611,0.601754676378083,0.515048096525272,0.624704814245613,0.558401386451677,0.109459214326876,2,30,FALSE
StepCox[backward] + Enet[α=0.2],0.745607458356423,0.63627863487611,0.60182089058103,0.514806481327676,0.62462836628531,0.558313685954353,0.109328823480313,2,30,FALSE
StepCox[backward] + Enet[α=0.7],0.745183688105095,0.633941093969145,0.601887104783976,0.517328339952583,0.6245850567027,0.55960772236828,0.11124259413595,2,30,FALSE
StepCox[backward] + Enet[α=0.9],0.745607458356423,0.633006077606358,0.60142360536335,0.518234396943568,0.624567884567425,0.559829001153459,0.112601380750065,2,30,FALSE
StepCox[backward] + Enet[α=0.4],0.746194217165955,0.634408602150538,0.601754676378083,0.515848446867308,0.624551485640471,0.558801561622696,0.111785615015417,2,30,FALSE
StepCox[backward] + Enet[α=0.1],0.744825113277048,0.636746143057504,0.603211388842907,0.513296386342701,0.62451975788004,0.558253887592804,0.108078970219544,2,30,FALSE
StepCox[backward] + Enet[α=0.5],0.745574860644783,0.633941093969145,0.60172156927661,0.516799806707842,0.624509332649595,0.559260687992226,0.111633766675638,2,30,FALSE
StepCox[backward] + Enet[α=0.8],0.745900837761189,0.633006077606358,0.601258069855984,0.517781368448075,0.624486588417902,0.55951971915203,0.112894760154831,2,30,FALSE
StepCox[backward] + Enet[α=0.6],0.745379274374939,0.633006077606358,0.601986426088396,0.516512888660697,0.624221166682598,0.559249657374546,0.112373196768581,2,30,FALSE
StepCox[both] + SuperPC,0.609479414545099,0.669471715755026,0.605595100148982,0.609142115039036,0.623422086372036,0.607368607594009,0.0599923012099269,2,22,FALSE
StepCox[backward] + plsRcox,0.725429474850866,0.654043945769051,0.615163052474756,0.498240739342505,0.623219303109295,0.55670189590863,0.071385529081815,2,30,FALSE
StepCox[backward],0.748573850115722,0.623655913978495,0.597848038404238,0.522568369550445,0.623161543012225,0.560208203977341,0.124917936137227,1,30,FALSE
StepCox[backward] + Ridge,0.741108974150015,0.640018700327256,0.606290349279921,0.50385829268661,0.622819079110951,0.555074320983265,0.101090273822759,2,30,FALSE
SuperPC,0.603807412719627,0.668069191210846,0.607647740440324,0.611226046118301,0.622687597622275,0.609436893279313,0.064261778491219,1,118,FALSE
