Cancer,DrugKey,Spearman_N,Spearman_Rho,Spearman_P,Spearman_FDR,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
STAD,Drug_1819__DOCETAXEL,375,-0.199030151325521,0.000104360145984334,0.000292208408756135,Docetaxel,1819,Microtubule stabiliser,Mitosis,670,-2.538492,TRUE
STAD,Drug_1873__BUPARLISIB,375,-0.269099783820685,1.21235407584187e-07,6.78918282471444e-07,Buparlisib,1873,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,957,0.993008,TRUE
STAD,Drug_1912__AFURESERTIB,375,-0.149239503925361,0.00377229626009243,0.00728443415741986,Afuresertib,1912,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,956,2.4131465,TRUE
STAD,Drug_1916__AZD5363,375,-0.10792331323245,0.0367028592274129,0.0604517681392682,AZD5363,1916,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",957,2.858666,TRUE
STAD,Drug_1917__AZD6738,375,-0.221876208897486,1.44809442927798e-05,4.26806779155614e-05,AZD6738,1917,ATR,Genome integrity,957,1.970669,TRUE
STAD,Drug_1918__AZD8186,375,0.00635203094777563,0.902426123234508,0.953506847191178,AZD8186,1918,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,957,3.162977,TRUE
STAD,Drug_1919__OSIMERTINIB,375,0.0395128000910229,0.445519697563565,0.512257750004854,Osimertinib,1919,EGFR,EGFR signaling,956,1.722364,TRUE
STAD,Drug_1924__IPATASERTIB,375,-0.276633519171692,5.15916589280905e-08,3.21014766663674e-07,Ipatasertib,1924,"AKT1, AKT, AKT3",PI3K/MTOR signaling,957,3.487847,TRUE
STAD,Drug_1926__GNE_317,375,-0.152974172260781,0.00297856496405949,0.00617776436990116,GNE-317,1926,PI3Kalpha,PI3K/MTOR signaling,943,0.556985,TRUE
STAD,Drug_2045__AMG_319,375,0.00210854477187393,0.967538630034168,0.978973476193232,AMG-319,2045,PI3K (beta sparing),PI3K/MTOR signaling,949,4.924722,TRUE
STAD,Drug_2046__MK_8776,375,-0.159336898395722,0.00196785613058131,0.00423845935817514,MK-8776,2046,"CHEK1, CHEK2, CDK2",Cell cycle,951,3.187491,TRUE
STAD,Drug_2106__UPROSERTIB,375,-0.223034019797474,1.30268420112732e-05,4.0527952923961e-05,Uprosertib,2106,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,736,2.7050635,TRUE
STAD,Drug_2107__LJI308,375,-0.102213676186142,0.047936097021511,0.0688313188001183,LJI308,2107,"RSK2, RSK1, RSK3",PI3K/MTOR signaling,953,5.019894,TRUE
STAD,Drug_2111__VE821,375,-0.189585163272272,0.00022198450944278,0.000591958691847414,VE821,2111,ATR,Genome integrity,950,3.9402775,TRUE
