Cancer,DrugKey,Comparison,Test,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Sensitive_Group,Drug_Value_Label,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
CHOL,Drug_1059__AZD8055,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,0.397069456573628,0.40017904486832,0.00310958829469293,0.244742194422159,0.917992279520064,Low,log2_predicted_IC50,AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,745,-0.155106,TRUE
CHOL,Drug_1060__PD0325901,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,1.41655721178935,0.976833901322833,-0.439723310466513,0.152810851426094,0.917992279520064,High,log2_predicted_IC50,PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,967,1.67305,TRUE
CHOL,Drug_1062__SELUMETINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,4.47513479025065,4.5851566925878,0.110021902337154,0.987005105257219,1,Low,log2_predicted_IC50,Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,948,3.578666,TRUE
CHOL,Drug_1080__PACLITAXEL,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,-3.39779058859788,-3.03853498198967,0.359255606608206,0.524567016868608,0.917992279520064,Low,log2_predicted_IC50,Paclitaxel,1080,Microtubule stabiliser,Mitosis,957,-3.321115,TRUE
CHOL,Drug_1084__RAPAMYCIN,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,-2.52365313630765,-2.31103016558102,0.212622970726637,0.218846090812552,0.917992279520064,Low,log2_predicted_IC50,Rapamycin,1084,MTORC1,PI3K/MTOR signaling,949,-1.958811,TRUE
CHOL,Drug_1089__OXALIPLATIN,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,6.45385542316914,6.27138781812093,-0.182467605048217,0.987005105257219,1,High,log2_predicted_IC50,Oxaliplatin,1089,DNA alkylating agent,DNA replication,966,3.84296,TRUE
CHOL,Drug_1129__PF_4708671,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.21513680845173,5.25330511336737,0.0381683049156383,0.244742194422159,0.917992279520064,Low,log2_predicted_IC50,PF-4708671,1129,S6K1,PI3K/MTOR signaling,267,3.599153,TRUE
CHOL,Drug_1168__ERLOTINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,4.19491213574161,4.43594117884292,0.24102904310131,0.258445347475976,0.917992279520064,Low,log2_predicted_IC50,Erlotinib,1168,EGFR,EGFR signaling,954,2.8669695,TRUE
CHOL,Drug_1175__RUCAPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,6.30013834893482,6.45561388209837,0.155475533163552,0.404756973705946,0.917992279520064,Low,log2_predicted_IC50,Rucaparib,1175,"PARP1, PARP2",Genome integrity,947,4.01274,TRUE
CHOL,Drug_1177__NIRAPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,6.93187185864179,6.88681313023561,-0.0450587284061745,0.351399290322426,0.917992279520064,High,log2_predicted_IC50,Niraparib,1177,"PARP1, PARP2",Genome integrity,893,4.38618,TRUE
CHOL,Drug_1179__MK_1775,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,1.407436215078,1.3022601951423,-0.105176019935701,0.756873272842555,0.972902912471668,High,log2_predicted_IC50,MK-1775,1179,"WEE1, PLK1",Cell cycle,966,0.445436,TRUE
CHOL,Drug_1190__GEMCITABINE,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,-0.267272597075829,-0.0163378021356495,0.250934794940179,0.961028557667895,1,Low,log2_predicted_IC50,Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,959,-1.053316,TRUE
CHOL,Drug_1259__TALAZOPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.87633518255057,5.52494577969321,-0.351389402857359,0.0413074224909903,0.578303914873864,High,log2_predicted_IC50,Talazoparib,1259,"PARP1, PARP2",Genome integrity,955,3.161281,TRUE
CHOL,Drug_1372__TRAMETINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,-0.168634177064847,-0.63034961513255,-0.461715438067703,0.143422748969924,0.917992279520064,High,log2_predicted_IC50,Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,965,0.540507,TRUE
CHOL,Drug_1441__AZD2014,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,3.30276124759834,3.20236132736236,-0.100399920235986,0.781796983236162,0.972902912471668,High,log2_predicted_IC50,AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,717,2.014818,TRUE
CHOL,Drug_1553__UPROSERTIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.17620172171728,5.03737674291074,-0.138824978806536,0.659844088936063,0.966725019994078,High,log2_predicted_IC50,Uprosertib,1553,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,897,2.9051,TRUE
CHOL,Drug_1560__ALPELISIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.50124550801939,5.59026282131762,0.0890173132982239,0.935092447161642,1,Low,log2_predicted_IC50,Alpelisib,1560,PI3Kalpha,PI3K/MTOR signaling,964,3.3928615,TRUE
CHOL,Drug_1561__TASELISIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,3.46350633668749,3.3891267050208,-0.0743796316666936,0.636362120573563,0.966725019994078,High,log2_predicted_IC50,Taselisib,1561,PI3K (beta sparing),PI3K/MTOR signaling,965,1.901128,TRUE
CHOL,Drug_1594__OSI_027,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,3.89792471364691,4.22840323755658,0.330478523909669,0.0139088024395625,0.259630978871834,Low,log2_predicted_IC50,OSI-027,1594,"MTORC1, MTORC2",PI3K/MTOR signaling,959,2.511485,TRUE
CHOL,Drug_1613__VE_822,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.10736978805823,5.41755910613521,0.310189318076978,0.16264639007641,0.917992279520064,Low,log2_predicted_IC50,VE-822,1613,ATR,Genome integrity,893,3.125544,TRUE
CHOL,Drug_1615__CZC24832,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,7.99083777198416,7.94924458218795,-0.041593189796207,1,1,High,log2_predicted_IC50,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,893,5.183793,TRUE
